"配方 ID","原料序号","原料可选项（中文名 <ID>）","候选物品数量","备注"
"farmersdelight:cutting/brown_mushroom_colony","1","棕色蘑菇菌落 <farmersdelight:brown_mushroom_colony>","","原料"
"farmersdelight:cutting/brown_mushroom_colony","2","{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}","","工具"
"farmersdelight:cutting/brown_mushroom_colony","3","#c:tools/knife","","工具"
"farmersdelight:chopping_board/add/sweet_berry_cheesecake_slice","1","甜浆果芝士派 <farmersdelight:sweet_berry_cheesecake>","","原料"
"kaleidoscope_cookery:millstone/light_blue_dye_from_blue_orchid","1","兰花 <minecraft:blue_orchid>","","原料"
"kaleidoscope_cookery:flex_pot/candied_potato","1","糖 <minecraft:sugar>","","原料"
"kaleidoscope_cookery:flex_pot/candied_potato","2","马铃薯 <minecraft:potato>","","原料"
"kaleidoscope_cookery:flex_pot/candied_potato","3","碗 <minecraft:bowl>","","容器/载体"
"spawn:rotten_flesh_from_zombified_flower","1","腐尸花 <spawn:zombified_flower>","","原料"
"kaleidoscope_cookery:flex_stockpot/hui_noodle","1","#c:foods/raw_mutton","","原料"
"kaleidoscope_cookery:flex_stockpot/hui_noodle","2","生面条 <kaleidoscope_cookery:raw_noodles>","","原料"
"farmersdelight:cutting/ink_sac","1","墨囊 <minecraft:ink_sac>","","原料"
"farmersdelight:cutting/ink_sac","2","{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}","","工具"
"farmersdelight:cutting/ink_sac","3","#c:tools/knife","","工具"
"kaleidoscope_cookery:millstone/gold_nugget_from_gilded_blackstone","1","镶金黑石 <minecraft:gilded_blackstone>","","原料"
"farmersdelight:cooked_chicken_cuts_from_smoking","1","生鸡肉丁 <farmersdelight:chicken_cuts>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","1","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","2","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","3","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","4","裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>","","原料"
