"配方 ID","产物序号","产物中文名","产物 ID","数量","是否可食用","饥饿值","饱食度","食用效果/BUFF"
"farmersdelight:cutting/brown_mushroom_colony","1","棕色蘑菇","minecraft:brown_mushroom","5","否","","",""
"farmersdelight:chopping_board/add/sweet_berry_cheesecake_slice","1","甜浆果芝士派切片","farmersdelight:sweet_berry_cheesecake_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1"
"kaleidoscope_cookery:millstone/light_blue_dye_from_blue_orchid","1","淡蓝色染料","minecraft:light_blue_dye","2","否","","",""
"kaleidoscope_cookery:flex_pot/candied_potato","1","拔丝土豆","kaleidoscope_cookery:candied_potato","1","是","20","22","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:farmer_leggings","1","农夫长裤","kaleidoscope_cookery:farmer_leggings","1","否","","",""
"spawn:rotten_flesh_from_zombified_flower","1","腐肉","minecraft:rotten_flesh","3","是","4","0.8","饥饿 600tick 1级 概率0.800000011920929"
"kaleidoscope_cookery:flex_stockpot/hui_noodle","1","羊肉烩面","kaleidoscope_cookery:hui_noodle","1","是","14","18.004","生机 9600tick 1级 概率1"
"farmersdelight:cutting/ink_sac","1","黑色染料","minecraft:black_dye","2","否","","",""
"kaleidoscope_cookery:millstone/gold_nugget_from_gilded_blackstone","1","金粒","minecraft:gold_nugget","3","否","","",""
"farmersdelight:cooked_chicken_cuts_from_smoking","1","熟鸡肉丁","farmersdelight:cooked_chicken_cuts","1","是","3","3.6000001",""
"farmersdelight:sweet_berry_cheesecake","1","甜浆果芝士派","farmersdelight:sweet_berry_cheesecake","1","否","","",""
"spawn:rotten_stairs","1","腐木楼梯","spawn:rotten_stairs","4","否","","",""
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_6","1","水煎包","kaleidoscope_cookery:shengjian_mantou","6","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_5","1","水煎包","kaleidoscope_cookery:shengjian_mantou","5","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_8","1","水煎包","kaleidoscope_cookery:shengjian_mantou","8","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_7","1","水煎包","kaleidoscope_cookery:shengjian_mantou","7","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_2","1","水煎包","kaleidoscope_cookery:shengjian_mantou","2","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_1","1","水煎包","kaleidoscope_cookery:shengjian_mantou","1","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_4","1","水煎包","kaleidoscope_cookery:shengjian_mantou","4","是","8","16","温暖 1600tick 1级 概率1"
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_3","1","水煎包","kaleidoscope_cookery:shengjian_mantou","3","是","8","16","温暖 1600tick 1级 概率1"
"farmersdelight:integration/create/milling/wild_beetroots","1","甜菜种子","minecraft:beetroot_seeds","1","否","","",""
"kaleidoscope_cookery:stockpot/shengjian_mantou_count_9","1","水煎包","kaleidoscope_cookery:shengjian_mantou","9","是","8","16","温暖 1600tick 1级 概率1"
"spawn:algal_reefstone_wall_from_algal_reefstone_stonecutting","1","藻礁石墙","spawn:algal_reefstone_wall","1","否","","",""
"spawn:algal_reefstone_stairs","1","藻礁石楼梯","spawn:algal_reefstone_stairs","4","否","","",""
"kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl","1","糖醋里脊盖饭","kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl","1","是","14","18.004","饱腹代偿 3600tick 1级 概率1"
"kaleidoscope_cookery:millstone/light_gray_dye_from_azure_bluet","1","淡灰色染料","minecraft:light_gray_dye","2","否","","",""
"farmersdelight:rice_roll_medley_block","1","寿司拼盘","farmersdelight:rice_roll_medley_block","1","否","","",""
"farmersdelight:cutting/smoked_ham","1","熟猪排","minecraft:cooked_porkchop","2","是","8","12.8",""
"farmersdelight:blue_canvas_sign","1","蓝色粗布告示牌","farmersdelight:blue_canvas_sign","1","否","","",""
