"来源模组","配方 ID","配方中文译名（主产物）","配方序列化类型","合成机器/工序","产物中文名","产物 ID","产物数量","是否可食用","饥饿值","饱食度","食用效果/BUFF","经验值","烹饪时间(tick)","原料概览","备注"
"farmersdelight","farmersdelight:cutting/brown_mushroom_colony","棕色蘑菇","farmersdelight:cutting","切菜板","棕色蘑菇","minecraft:brown_mushroom","5","否","","","","","","原料：棕色蘑菇菌落 <farmersdelight:brown_mushroom_colony>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"farmersdelight","farmersdelight:chopping_board/add/sweet_berry_cheesecake_slice","甜浆果芝士派切片","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","甜浆果芝士派切片","farmersdelight:sweet_berry_cheesecake_slice","4","是","3","1.8000001","迅捷 600tick 1级 概率1","","","原料：甜浆果芝士派 <farmersdelight:sweet_berry_cheesecake>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/light_blue_dye_from_blue_orchid","淡蓝色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","淡蓝色染料","minecraft:light_blue_dye","2","否","","","","","","原料：兰花 <minecraft:blue_orchid>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/candied_potato","拔丝土豆","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","拔丝土豆","kaleidoscope_cookery:candied_potato","1","是","20","22","温暖 1600tick 1级 概率1","","","原料：糖 <minecraft:sugar>；原料：马铃薯 <minecraft:potato>；容器/载体：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:farmer_leggings","农夫长裤","minecraft:crafting_shaped","工作台（有序合成）","农夫长裤","kaleidoscope_cookery:farmer_leggings","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:rotten_flesh_from_zombified_flower","腐肉","minecraft:crafting_shapeless","工作台（无序合成）","腐肉","minecraft:rotten_flesh","3","是","4","0.8","饥饿 600tick 1级 概率0.800000011920929","","","原料：腐尸花 <spawn:zombified_flower>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/hui_noodle","羊肉烩面","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","羊肉烩面","kaleidoscope_cookery:hui_noodle","1","是","14","18.004","生机 9600tick 1级 概率1","","","原料：#c:foods/raw_mutton；原料：生面条 <kaleidoscope_cookery:raw_noodles>",""
"farmersdelight","farmersdelight:cutting/ink_sac","黑色染料","farmersdelight:cutting","切菜板","黑色染料","minecraft:black_dye","2","否","","","","","","原料：墨囊 <minecraft:ink_sac>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/gold_nugget_from_gilded_blackstone","金粒","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","金粒","minecraft:gold_nugget","3","否","","","","","","原料：镶金黑石 <minecraft:gilded_blackstone>",""
"farmersdelight","farmersdelight:cooked_chicken_cuts_from_smoking","熟鸡肉丁","minecraft:smoking","烟熏炉","熟鸡肉丁","farmersdelight:cooked_chicken_cuts","1","是","3","3.6000001","","0.35","100","原料：生鸡肉丁 <farmersdelight:chicken_cuts>",""
"farmersdelight","farmersdelight:sweet_berry_cheesecake","甜浆果芝士派","minecraft:crafting_shaped","工作台（有序合成）","甜浆果芝士派","farmersdelight:sweet_berry_cheesecake","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:rotten_stairs","腐木楼梯","minecraft:crafting_shaped","工作台（有序合成）","腐木楼梯","spawn:rotten_stairs","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
