来源,文件名,modId,显示名,版本,端侧,判断依据,引用client类,必选依赖,可选依赖,不兼容,备注
服务器mods,OELib-neoforge-1.21.1-0.2.3.jar,oelib,OELib,0.2.3,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21,)",,,
服务器mods,[Arc库]arc-9.0.0-neoforge.jar,arc,Arc,9.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21,); architectury@[13.0.6,); uilib@[9.0.0,); yamlconfig@[9.0.0,)",,,
服务器mods,[Balm辅助库]balm-neoforge-1.21.1-21.0.63.jar,balm,Balm,21.0.63,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.82-beta,); minecraft@[1.21.1,)",,,
服务器mods,[Gecko动画库]geckolib-neoforge-1.21.1-4.9.2.jar,geckolib,GeckoLib 4,4.9.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.150,); minecraft@[1.21,)",,geckoanimfix,
服务器mods,[JavaScript引擎]rhino-2101.2.8-build.91.jar,rhino,Rhino,2101.2.8-build.91,双端,服务器+客户端均加载(Automodpack分发),否,,,,
服务器mods,[Kambrik前置库]kambrik-neoforge-8.0.0-beta.2.jar,kambrik,Kambrik,8.0.0-beta.2,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.194,); kotlinforforge@[5,); minecraft@[1.21, 1.21.1]",,,
服务器mods,[Konkrete前置库]konkrete_neoforge_1.9.9_MC_1.21.jar,konkrete,Konkrete,1.9.9,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.0.20-beta,); minecraft@[1.21,)",,,
服务器mods,[Kotlin前置库]kotlinforforge-5.12.0-all.jar,,,,双端,服务器+客户端均加载(Automodpack分发)；无mods.toml元数据,?,,,,
服务器mods,[SuperMartijn配置库]supermartijn642configlib-1.1.8-neoforge-mc1.21.jar,supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,双端,服务器+客户端均加载(Automodpack分发),否,"neoforge@[21.0.78-beta,); minecraft@[1.21,1.22)",,,
服务器mods,[Teal前置库]teallib-1.3.teal.jar,teallib,Teal Lib,1.3.teal,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21.1.234,); minecraft@[1.21.1]",,,
服务器mods,[YAML配置库]yamlconfig-9.0.0-neoforge.jar,yamlconfig,YAML Config,9.0.0,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21,); architectury@[13.0.1,); uilib@[9.0.0,)",,,
服务器mods,[万花筒烹饪]kaleidoscopecookery-1.4.1-neoforge+mc1.21.1.jar,kaleidoscope_cookery,Kaleidoscope Cookery,1.4.1-neoforge+mc1.21.1,双端,服务器+客户端均加载(Automodpack分发),是,"neoforge@[21,); minecraft@[1.21.1,1.21.2)","kubejs@[2101.7.2-build.309,)",,
