配方ID,产物,数量,机器,原料,附加参数
apple_platter,苹果拼盘(kaleidoscope_cookery:apple_platter),1,工作台,苹果(minecraft:apple) + 苹果(minecraft:apple) + 苹果(minecraft:apple) + 苹果(minecraft:apple) + 碗(minecraft:bowl),
baozi_plate,一盘包子(kaleidoscope_cookery:baozi_plate),1,工作台,包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 碗(minecraft:bowl),
berry_platter,浆果拼盘(kaleidoscope_cookery:berry_platter),1,工作台,甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 发光浆果(minecraft:glow_berries) + 碗(minecraft:bowl),
braised_beef_rice_bowl,红烧牛肉盖饭(kaleidoscope_cookery:braised_beef_rice_bowl),1,盖饭(饭碗:菜+米饭),红烧牛肉(kaleidoscope_cookery:braised_beef),
chair_acacia,金合欢木椅子(kaleidoscope_cookery:chair_acacia),1,工作台,金合欢木栅栏(minecraft:acacia_fence)×3 + 金合欢木台阶(minecraft:acacia_slab)×3,
chair_bamboo,竹椅子(kaleidoscope_cookery:chair_bamboo),1,工作台,竹块(minecraft:bamboo_block)×3 + 竹台阶(minecraft:bamboo_slab)×3,
chair_birch,白桦木椅子(kaleidoscope_cookery:chair_birch),1,工作台,白桦木栅栏(minecraft:birch_fence)×3 + 白桦木台阶(minecraft:birch_slab)×3,
chair_cherry,樱花木椅子(kaleidoscope_cookery:chair_cherry),1,工作台,樱花木栅栏(minecraft:cherry_fence)×3 + 樱花木台阶(minecraft:cherry_slab)×3,
chair_crimson,绯红木椅子(kaleidoscope_cookery:chair_crimson),1,工作台,绯红木栅栏(minecraft:crimson_fence)×3 + 绯红木台阶(minecraft:crimson_slab)×3,
chair_dark_oak,深色橡木椅子(kaleidoscope_cookery:chair_dark_oak),1,工作台,深色橡木栅栏(minecraft:dark_oak_fence)×3 + 深色橡木台阶(minecraft:dark_oak_slab)×3,
