配方ID,产物,数量,机器,原料,附加参数
acacia_cabinet,金合欢木橱柜(farmersdelight:acacia_cabinet),1,工作台,金合欢木台阶(minecraft:acacia_slab)×6 + 金合欢木活板门(minecraft:acacia_trapdoor)×2,
apple_pie,苹果派(farmersdelight:apple_pie),1,工作台,小麦(#c:crops/wheat)×3 + 苹果(minecraft:apple)×3 + 糖(minecraft:sugar)×2 + 馅饼酥皮(farmersdelight:pie_crust),
apple_pie_from_slices,苹果派(farmersdelight:apple_pie),1,工作台,苹果派切片(farmersdelight:apple_pie_slice)×4,
bacon_and_eggs,培根蛋(farmersdelight:bacon_and_eggs),1,工作台,熟培根(#c:foods/cooked_bacon) + 熟培根(#c:foods/cooked_bacon) + 碗(minecraft:bowl) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),
bacon_sandwich,培根三明治(farmersdelight:bacon_sandwich),1,工作台,面包(#c:foods/bread) + 熟培根(#c:foods/cooked_bacon) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato),
bamboo_basket,竹篮(farmersdelight:bamboo_basket),1,工作台,竹子(minecraft:bamboo)×4 + 粗布(farmersdelight:canvas)×3,
bamboo_cabinet,竹橱柜(farmersdelight:bamboo_cabinet),1,工作台,竹台阶(minecraft:bamboo_slab)×6 + 竹活板门(minecraft:bamboo_trapdoor)×2,
barbecue_stick,烧烤串(farmersdelight:barbecue_stick),1,工作台,番茄(#c:crops/tomato) + 洋葱(#c:crops/onion) + 熟肉(#c:foods/cooked_meat) + 木棍(minecraft:stick),
beef_patty,牛肉饼(farmersdelight:beef_patty),1,熔炉,牛肉馅(farmersdelight:minced_beef),200刻; 经验0.35
beef_patty_from_campfire_cooking,牛肉饼(farmersdelight:beef_patty),1,营火,牛肉馅(farmersdelight:minced_beef),600刻; 经验0.35
beef_patty_from_smoking,牛肉饼(farmersdelight:beef_patty),1,烟熏炉,牛肉馅(farmersdelight:minced_beef),100刻; 经验0.35
beetroot_crate,箱装甜菜根(farmersdelight:beetroot_crate),1,工作台,甜菜根(minecraft:beetroot)×9,
beetroot_from_crate,甜菜根(minecraft:beetroot),9,工作台,箱装甜菜根(farmersdelight:beetroot_crate),
birch_cabinet,白桦木橱柜(farmersdelight:birch_cabinet),1,工作台,白桦木台阶(minecraft:birch_slab)×6 + 白桦木活板门(minecraft:birch_trapdoor)×2,
black_canvas_sign,黑色粗布告示牌(farmersdelight:black_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黑色染料(#c:dyes/black),
black_hanging_canvas_sign,悬挂式黑色粗布告示牌(farmersdelight:black_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黑色染料(#c:dyes/black),
blue_canvas_sign,蓝色粗布告示牌(farmersdelight:blue_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 蓝色染料(#c:dyes/blue),
blue_hanging_canvas_sign,悬挂式蓝色粗布告示牌(farmersdelight:blue_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 蓝色染料(#c:dyes/blue),
book_from_canvas,书(minecraft:book),1,工作台,纸(minecraft:paper) + 纸(minecraft:paper) + 纸(minecraft:paper) + 粗布(farmersdelight:canvas),
bread_from_smelting,面包(minecraft:bread),1,熔炉,面团(farmersdelight:wheat_dough),200刻; 经验0.35
bread_from_smoking,面包(minecraft:bread),1,烟熏炉,面团(farmersdelight:wheat_dough),100刻; 经验0.35
brown_canvas_sign,棕色粗布告示牌(farmersdelight:brown_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 棕色染料(#c:dyes/brown),
brown_hanging_canvas_sign,悬挂式棕色粗布告示牌(farmersdelight:brown_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 棕色染料(#c:dyes/brown),
cabbage,卷心菜(farmersdelight:cabbage),9,工作台,箱装卷心菜(farmersdelight:cabbage_crate),
cabbage_crate,箱装卷心菜(farmersdelight:cabbage_crate),1,工作台,卷心菜(farmersdelight:cabbage)×9,
cabbage_from_leaves,卷心菜(farmersdelight:cabbage),1,工作台,卷心菜叶(farmersdelight:cabbage_leaf) + 卷心菜叶(farmersdelight:cabbage_leaf),
cake_from_milk_bottle,蛋糕(minecraft:cake),1,工作台,奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 蛋(#c:eggs) + 小麦(#c:crops/wheat)×3,
cake_from_slices,蛋糕(minecraft:cake),1,工作台,蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice) + 蛋糕切片(farmersdelight:cake_slice),
canvas,粗布(farmersdelight:canvas),1,工作台,草秆(farmersdelight:straw)×4,
canvas_from_canvas_rug,粗布(farmersdelight:canvas),1,工作台,粗布毯(farmersdelight:canvas_rug) + 粗布毯(farmersdelight:canvas_rug),
canvas_rug,粗布毯(farmersdelight:canvas_rug),2,工作台,粗布(farmersdelight:canvas),
canvas_sign,粗布告示牌(farmersdelight:canvas_sign),3,工作台,木板(#minecraft:planks)×4 + 粗布(farmersdelight:canvas)×2 + 木棍(minecraft:stick),
carrot_crate,箱装胡萝卜(farmersdelight:carrot_crate),1,工作台,胡萝卜(minecraft:carrot)×9,
carrot_from_crate,胡萝卜(minecraft:carrot),9,工作台,箱装胡萝卜(farmersdelight:carrot_crate),
cherry_cabinet,樱花木橱柜(farmersdelight:cherry_cabinet),1,工作台,樱花木台阶(minecraft:cherry_slab)×6 + 樱花木活板门(minecraft:cherry_trapdoor)×2,
chicken_sandwich,鸡肉三明治(farmersdelight:chicken_sandwich),1,工作台,面包(#c:foods/bread) + 熟鸡肉(#c:foods/cooked_chicken) + 绿叶菜(#c:foods/leafy_green) + 胡萝卜(#c:crops/carrot),
chocolate_pie,巧克力派(farmersdelight:chocolate_pie),1,工作台,可可豆(minecraft:cocoa_beans)×3 + 奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 馅饼酥皮(farmersdelight:pie_crust),
chocolate_pie_from_slices,巧克力派(farmersdelight:chocolate_pie),1,工作台,巧克力派切片(farmersdelight:chocolate_pie_slice)×4,
cod_roll,鳕鱼寿司(farmersdelight:cod_roll),2,工作台,生鳕鱼片(farmersdelight:cod_slice) + 生鳕鱼片(farmersdelight:cod_slice) + 米饭(farmersdelight:cooked_rice),
