配方ID,原始配方,UNITE后状态,UNITE后配方,来源包
bread_from_smelting.json,minecraft:smelting | 产物:minecraft:bread×1 | 原料:[farmersdelight:wheat_dough],❌失效(bug:item引用标签),minecraft:smelting | 产物:minecraft:bread×1 | 原料:[c:dough],unite_farmersdelight
bread_from_smoking.json,minecraft:smoking | 产物:minecraft:bread×1 | 原料:[farmersdelight:wheat_dough],❌失效(bug:item引用标签),minecraft:smoking | 产物:minecraft:bread×1 | 原料:[c:dough],unite_farmersdelight
cod_roll.json,"minecraft:crafting_shapeless | 产物:farmersdelight:cod_roll×2 | 原料:[farmersdelight:cod_slice, farmersdelight:cod_slice, farmersdelight:cooked_rice]",修改,"minecraft:crafting_shapeless | 产物:farmersdelight:cod_roll×2 | 原料:[farmersdelight:cod_slice, farmersdelight:cod_slice, kaleidoscope_cookery:cooked_rice]",unite_farmersdelight
cooked_mutton_chops.json,minecraft:smelting | 产物:farmersdelight:cooked_mutton_chops×1 | 原料:[farmersdelight:mutton_chops],禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
cooked_mutton_chops_from_campfire_cooking.json,minecraft:campfire_cooking | 产物:farmersdelight:cooked_mutton_chops×1 | 原料:[farmersdelight:mutton_chops],禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
cooked_mutton_chops_from_smoking.json,minecraft:smoking | 产物:farmersdelight:cooked_mutton_chops×1 | 原料:[farmersdelight:mutton_chops],禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
cutting/cooked_mutton.json,farmersdelight:cutting | 产物:farmersdelight:cooked_mutton_chops× | 原料:[minecraft:cooked_mutton] | 工具:knife_dig; c:tools/knife,禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
cutting/mutton.json,farmersdelight:cutting | 产物:farmersdelight:mutton_chops× | 原料:[minecraft:mutton] | 工具:knife_dig; c:tools/knife,禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
cutting/rice_panicle.json,farmersdelight:cutting | 产物:farmersdelight:rice+farmersdelight:straw× | 原料:[farmersdelight:rice_panicle] | 工具:knife_dig; c:tools/knife,修改,farmersdelight:cutting | 产物:kaleidoscope_cookery:rice+farmersdelight:straw× | 原料:[kaleidoscope_cookery:rice_panicle] | 工具:c:tools/knife,unite_farmersdelight
cutting/wild_rice.json,farmersdelight:cutting | 产物:farmersdelight:rice+farmersdelight:straw× | 原料:[farmersdelight:wild_rice] | 工具:knife_dig; c:tools/knife,修改,farmersdelight:cutting | 产物:kaleidoscope_cookery:rice+farmersdelight:straw× | 原料:[farmersdelight:wild_rice] | 工具:c:tools/knife,unite_farmersdelight
cutting/wild_tomatoes.json,farmersdelight:cutting | 产物:farmersdelight:tomato_seeds+farmersdelight:tomato+minecraft:green_dye× | 原料:[farmersdelight:wild_tomatoes] | 工具:knife_dig; c:tools/knife,修改,farmersdelight:cutting | 产物:kaleidoscope_cookery:tomato_seed+kaleidoscope_cookery:tomato+minecraft:green_dye× | 原料:[farmersdelight:wild_tomatoes] | 工具:c:tools/knife,unite_farmersdelight
fried_egg.json,minecraft:smelting | 产物:farmersdelight:fried_egg×1 | 原料:[minecraft:egg],修改,minecraft:smelting | 产物:kaleidoscope_cookery:fried_egg×1 | 原料:[c:eggs],unite_farmersdelight
fried_egg_from_campfire_cooking.json,minecraft:campfire_cooking | 产物:farmersdelight:fried_egg×1 | 原料:[minecraft:egg],修改,minecraft:campfire_cooking | 产物:kaleidoscope_cookery:fried_egg×1 | 原料:[c:eggs],unite_farmersdelight
fried_egg_from_smoking.json,minecraft:smoking | 产物:farmersdelight:fried_egg×1 | 原料:[minecraft:egg],修改,minecraft:smoking | 产物:kaleidoscope_cookery:fried_egg×1 | 原料:[c:eggs],unite_farmersdelight
honey_glazed_ham_block.json,"minecraft:crafting_shapeless | 产物:farmersdelight:honey_glazed_ham_block×1 | 原料:[minecraft:sweet_berries, minecraft:honey_bottle, minecraft:sweet_berries, minecraft:sweet_berries, farmersdelight:smoked_ham, minecraft:sweet_berries, farmersdelight:cooked_rice, minecraft:bowl, farmersdelight:cooked_rice]",修改,"minecraft:crafting_shapeless | 产物:farmersdelight:honey_glazed_ham_block×1 | 原料:[minecraft:sweet_berries, minecraft:honey_bottle, minecraft:sweet_berries, minecraft:sweet_berries, farmersdelight:smoked_ham, minecraft:sweet_berries, kaleidoscope_cookery:cooked_rice, minecraft:bowl, kaleidoscope_cookery:cooked_rice]",unite_farmersdelight
integration/create/milling/rice_panicle.json,create:milling | 产物:None× | 原料:[farmersdelight:rice_panicle],修改,create:milling | 产物:None× | 原料:[kaleidoscope_cookery:rice_panicle],unite_farmersdelight
integration/create/milling/wild_rice.json,create:milling | 产物:None× | 原料:[farmersdelight:wild_rice],修改,create:milling | 产物:None× | 原料:[farmersdelight:wild_rice],unite_farmersdelight
integration/create/milling/wild_tomatoes.json,create:milling | 产物:None× | 原料:[farmersdelight:wild_tomatoes],修改,create:milling | 产物:None× | 原料:[farmersdelight:wild_tomatoes],unite_farmersdelight
kelp_roll.json,minecraft:crafting_shaped | 产物:farmersdelight:kelp_roll×1 | 原料:[],修改,minecraft:crafting_shaped | 产物:farmersdelight:kelp_roll×1 | 原料:[],unite_farmersdelight
rice.json,minecraft:crafting_shapeless | 产物:farmersdelight:rice×1 | 原料:[farmersdelight:rice_panicle],禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
rice_bag.json,minecraft:crafting_shaped | 产物:farmersdelight:rice_bag×1 | 原料:[],修改,minecraft:crafting_shaped | 产物:farmersdelight:rice_bag×1 | 原料:[],unite_farmersdelight
rice_bale.json,minecraft:crafting_shaped | 产物:farmersdelight:rice_bale×1 | 原料:[],修改,minecraft:crafting_shaped | 产物:farmersdelight:rice_bale×1 | 原料:[],unite_farmersdelight
rice_from_bag.json,minecraft:crafting_shapeless | 产物:farmersdelight:rice×9 | 原料:[farmersdelight:rice_bag],修改,minecraft:crafting_shapeless | 产物:kaleidoscope_cookery:rice×9 | 原料:[farmersdelight:rice_bag],unite_farmersdelight
rice_panicle.json,minecraft:crafting_shapeless | 产物:farmersdelight:rice_panicle×9 | 原料:[farmersdelight:rice_bale],修改,minecraft:crafting_shapeless | 产物:kaleidoscope_cookery:rice_panicle×9 | 原料:[farmersdelight:rice_bale],unite_farmersdelight
roasted_mutton_chops.json,"minecraft:crafting_shapeless | 产物:farmersdelight:roasted_mutton_chops×1 | 原料:[farmersdelight:cooked_mutton_chops, c:crops/beetroot, minecraft:bowl, farmersdelight:cooked_rice, c:crops/tomato]",修改,"minecraft:crafting_shapeless | 产物:farmersdelight:roasted_mutton_chops×1 | 原料:[kaleidoscope_cookery:cooked_lamb_chops, minecraft:beetroot, minecraft:bowl, kaleidoscope_cookery:cooked_rice, c:crops/tomato]",unite_farmersdelight
salmon_roll.json,"minecraft:crafting_shapeless | 产物:farmersdelight:salmon_roll×2 | 原料:[farmersdelight:salmon_slice, farmersdelight:salmon_slice, farmersdelight:cooked_rice]",修改,"minecraft:crafting_shapeless | 产物:farmersdelight:salmon_roll×2 | 原料:[farmersdelight:salmon_slice, farmersdelight:salmon_slice, kaleidoscope_cookery:cooked_rice]",unite_farmersdelight
steak_and_potatoes.json,"minecraft:crafting_shapeless | 产物:farmersdelight:steak_and_potatoes×1 | 原料:[minecraft:baked_potato, minecraft:cooked_beef, minecraft:bowl, c:crops/onion, farmersdelight:cooked_rice]",修改,"minecraft:crafting_shapeless | 产物:farmersdelight:steak_and_potatoes×1 | 原料:[minecraft:baked_potato, minecraft:cooked_beef, minecraft:bowl, c:crops/onion, kaleidoscope_cookery:cooked_rice]",unite_farmersdelight
tomato.json,minecraft:crafting_shapeless | 产物:farmersdelight:tomato×9 | 原料:[farmersdelight:tomato_crate],修改,minecraft:crafting_shapeless | 产物:kaleidoscope_cookery:tomato×9 | 原料:[farmersdelight:tomato_crate],unite_farmersdelight
tomato_crate.json,minecraft:crafting_shaped | 产物:farmersdelight:tomato_crate×1 | 原料:[],修改,minecraft:crafting_shaped | 产物:farmersdelight:tomato_crate×1 | 原料:[],unite_farmersdelight
tomato_seeds.json,minecraft:crafting_shapeless | 产物:farmersdelight:tomato_seeds×1 | 原料:[?],修改,minecraft:crafting_shapeless | 产物:kaleidoscope_cookery:tomato_seed×1 | 原料:[farmersdelight:rotten_tomato],unite_farmersdelight
wheat_dough_from_egg.json,"minecraft:crafting_shapeless | 产物:farmersdelight:wheat_dough×3 | 原料:[c:crops/wheat, c:crops/wheat, c:crops/wheat, c:eggs]",修改,"minecraft:crafting_shapeless | 产物:kaleidoscope_cookery:raw_dough×3 | 原料:[kaleidoscope_cookery:flour, kaleidoscope_cookery:flour, kaleidoscope_cookery:flour, c:eggs]",unite_farmersdelight
wheat_dough_from_water.json,farmersdelight:dough | 产物:None× | 原料:[],禁用,minecraft:crafting_shapeless | 产物:minecraft:barrier×1 | 原料:[minecraft:barrier],unite_farmersdelight
chopping_board/add/apple_pie_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:apple_pie_slice×4 | 原料:[farmersdelight:apple_pie],always
chopping_board/add/cabbage_leaf.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:cabbage_leaf×2 | 原料:[farmersdelight:cabbage],always
chopping_board/add/cake_slice.json,—,新增(KC机器),kaleidoscope_cookery:chopping_board | 产物:farmersdelight:cake_slice×7 | 原料:[minecraft:cake],always
