物品ID,单价_铜币,来源,备注
#c:bones,8,缺省猜想,配方出现1次
#c:crops/lettuce,5,缺省猜想,配方出现6次
#c:foods/cooked_bacon,12,缺省猜想,配方出现3次
#c:foods/cooked_egg,8,缺省猜想,配方出现4次
#c:foods/cooked_meat,8,缺省猜想,配方出现1次
#c:foods/cooked_rice,5,缺省猜想,配方出现1次
#c:foods/cooked_salmon,12,缺省猜想,配方出现1次
#c:foods/pasta,8,缺省猜想,配方出现5次
#c:foods/raw_cod,12,缺省猜想,配方出现1次
#c:foods/raw_meat,12,缺省猜想,配方出现2次
#c:foods/vegetable,8,缺省猜想,配方出现3次
#c:grain/rice,5,缺省猜想,配方出现2次
#c:raw_meats,12,缺省猜想,配方出现3次
#minecraft:flowers,8,缺省猜想,配方出现2次
c:chests,8,猜想,
c:crops,5,猜想,
c:crops/beetroot,7,猜想,
c:crops/cabbage,6,已定义,
c:crops/cabbage_leaf,3,猜想,
c:crops/carrot,4,猜想,
c:crops/chili_pepper,7,猜想,
c:crops/chilipepper,7,猜想,
c:crops/onion,6,已定义,
c:crops/potato,4,猜想,
c:crops/rice,5,已定义,
c:crops/tomato,6,已定义,
c:crops/wheat,5,猜想,
c:dough,5,派生,约1麦面粉+水
c:drinks/milk,6,猜想,
c:eggs,5,已定义,
c:fences/wooden,4,猜想,
c:foods/berry,6,猜想,
c:foods/bread,12,猜想,
c:foods/cooked_beef,12,猜想,
c:foods/cooked_chicken,9,猜想,
c:foods/cooked_fish,9,猜想,
c:foods/cooked_mutton,17,猜想,
c:foods/cooked_pork,17,猜想,
c:foods/dough,8,猜想,
c:foods/leafy_green,4,猜想,
c:foods/milk,6,猜想,
c:foods/raw_bacon,8,猜想,
c:foods/raw_beef,10,已定义,
c:foods/raw_chicken,7,已定义,
c:foods/raw_fishes,7,猜想,
c:foods/raw_mutton,15,已定义,
c:foods/raw_pork,15,已定义,
c:foods/raw_rabbit,12,猜想,
c:fruits,6,猜想,
c:ingots/gold,25,猜想,
c:ingots/iron,12,猜想,
c:mushrooms,5,猜想,
c:raw_fishes,7,已定义,
c:raw_meats,7,最便宜锚点,鸡/鳕7用于包子链
c:seeds,3,猜想,
c:vegetables,6,番茄/卷心菜锚点,包子链
farmersdelight:apple_pie,32,猜想,
farmersdelight:bacon,8,猜想,
farmersdelight:bacon_sandwich,24,猜想,
farmersdelight:barbecue_stick,18,猜想,
farmersdelight:beef_patty,13,猜想,
farmersdelight:cabbage,6,猜想,
farmersdelight:cabbage_crate,5,缺省猜想,配方出现1次
farmersdelight:cabbage_leaf,3,猜想,
farmersdelight:canvas,4,猜想,
farmersdelight:chicken_cuts,12,缺省猜想,配方出现1次
farmersdelight:chicken_sandwich,22,猜想,
farmersdelight:chocolate_pie,35,猜想,
farmersdelight:cod_slice,5,猜想,
farmersdelight:cooked_bacon,10,猜想,
farmersdelight:cooked_chicken_cuts,5,配方派生,1份熟鸡肉可切出2份
farmersdelight:cooked_cod_slice,5,配方派生,1份熟鳕鱼可切出2片
farmersdelight:cooked_mutton_chops,12,猜想,
farmersdelight:cooked_rice,7,猜想,
farmersdelight:cooked_salmon_slice,5,配方派生,1份熟鲑鱼可切出2片
farmersdelight:dumplings,20,猜想,
farmersdelight:egg_sandwich,16,猜想,
farmersdelight:fried_rice,22,猜想,
farmersdelight:fruit_salad,20,猜想,
farmersdelight:ham,18,猜想,
farmersdelight:hamburger,28,猜想,
farmersdelight:honey_glazed_ham,45,猜想,
farmersdelight:kelp_roll,12,猜想,
farmersdelight:kelp_roll_slice,5,配方派生,1个海带寿司卷可切出3片
farmersdelight:milk_bottle,4,猜想,
farmersdelight:minced_beef,11,猜想,
farmersdelight:mixed_salad,18,猜想,
farmersdelight:mutton_wrap,26,猜想,
farmersdelight:nether_salad,22,猜想,
farmersdelight:onion,6,猜想,
farmersdelight:onion_crate,5,缺省猜想,配方出现1次
farmersdelight:pie_crust,10,猜想,
farmersdelight:pumpkin_slice,5,配方派生,1个南瓜17可切出4片，含少量切配加工价
farmersdelight:raw_pasta,10,猜想,
farmersdelight:rice,5,猜想,
farmersdelight:rice_panicle,4,猜想,
farmersdelight:roast_chicken,30,猜想,
farmersdelight:salmon_slice,6,猜想,
farmersdelight:shepherds_pie,40,猜想,
farmersdelight:smoked_ham,22,猜想,
farmersdelight:straw,2,猜想,
farmersdelight:stuffed_potato,14,猜想,
farmersdelight:stuffed_pumpkin,40,猜想,
farmersdelight:sweet_berry_cheesecake,35,猜想,
farmersdelight:tomato,6,猜想,
farmersdelight:tomato_sauce,10,猜想,
farmersdelight:tree_bark,1,猜想,
farmersdelight:wheat_dough,8,猜想,
kaleidoscope_cookery:baozi,14,猜想,
kaleidoscope_cookery:braised_beef,12,缺省猜想,配方出现1次
kaleidoscope_cookery:caterpillar,4,猜想,
kaleidoscope_cookery:caterpillars,4,猜想,
kaleidoscope_cookery:chilipepper,7,猜想,
kaleidoscope_cookery:cooked_cow_offal,7,配方派生,1份熟牛肉可切出2份
kaleidoscope_cookery:cooked_cut_meat,12,猜想,
kaleidoscope_cookery:cooked_cut_small_meats,5,配方派生,按最便宜的1份熟鸡肉切出2份
kaleidoscope_cookery:cooked_lamb_chops,10,配方派生,1份熟羊肉可切出2份
kaleidoscope_cookery:cooked_meatball,14,猜想,
kaleidoscope_cookery:cooked_pork_belly,10,配方派生,1份熟猪排可切出2份
kaleidoscope_cookery:cooked_rice,7,派生/通用池,米饭
kaleidoscope_cookery:cooked_sashimi,16,猜想,
kaleidoscope_cookery:dough,8,猜想,
kaleidoscope_cookery:fish_flavored_shredded_pork,12,缺省猜想,配方出现1次
kaleidoscope_cookery:flour,5,派生,1麦=5
kaleidoscope_cookery:fried_egg,6,猜想,
kaleidoscope_cookery:green_chili,5,缺省猜想,配方出现1次
kaleidoscope_cookery:mantou,10,猜想,
kaleidoscope_cookery:noodle,10,猜想,
kaleidoscope_cookery:oil,6,猜想,
kaleidoscope_cookery:pork_belly,16,猜想,
kaleidoscope_cookery:raw_bamboo_tube_rice,12,缺省猜想,配方出现1次
kaleidoscope_cookery:raw_cow_offal,10,猜想,
kaleidoscope_cookery:raw_cut_meat,10,猜想,
kaleidoscope_cookery:raw_cut_small_meats,12,缺省猜想,配方出现3次
kaleidoscope_cookery:raw_dough,5,派生,面粉+水
kaleidoscope_cookery:raw_lamb_chops,12,猜想,
kaleidoscope_cookery:raw_meatball,12,猜想,
kaleidoscope_cookery:raw_noodle,9,猜想,
kaleidoscope_cookery:raw_noodles,12,缺省猜想,配方出现4次
kaleidoscope_cookery:raw_pork_belly,12,缺省猜想,配方出现1次
kaleidoscope_cookery:raw_zongzi,10,派生,米5+睡莲5
kaleidoscope_cookery:rice,5,已定义/对齐稻米,粽子链
kaleidoscope_cookery:sashimi,14,猜想,
kaleidoscope_cookery:sauce,8,猜想,
kaleidoscope_cookery:sausage,16,猜想,
kaleidoscope_cookery:shengjian_mantou,14,猜想,
kaleidoscope_cookery:stir_fried_pork_with_peppers,12,缺省猜想,配方出现1次
kaleidoscope_cookery:straw_hat,15,猜想,
kaleidoscope_cookery:stuffed_dough_food,18,派生(最便宜路径),鸡/鳕7+菜6+面团5
kaleidoscope_cookery:sweet_and_sour_pork,12,缺省猜想,配方出现1次
kaleidoscope_cookery:tomato,6,对齐番茄,番茄拼盘
minecraft:amethyst_block,28,缺省猜想,配方出现1次
minecraft:amethyst_shard,18,猜想,
minecraft:apple,6,猜想,苹果拼盘
minecraft:baked_potato,5,猜想,
minecraft:bamboo,2,已定义,
minecraft:beef,10,已定义,
minecraft:beetroot,7,已定义,
minecraft:blaze_powder,25,猜想,
minecraft:blaze_rod,45,猜想,
minecraft:blue_ice,35,猜想,
minecraft:bone,3,猜想,
minecraft:bone_meal,8,缺省猜想,配方出现1次
minecraft:bowl,2,猜想,整盘组装
minecraft:bread,12,猜想,
minecraft:brown_mushroom,5,猜想,
minecraft:cactus,4,已定义,
minecraft:cake,40,猜想,
minecraft:campfire,8,缺省猜想,配方出现1次
minecraft:carrot,4,已定义,
minecraft:chain,8,缺省猜想,配方出现1次
minecraft:chicken,7,已定义,
minecraft:chorus_fruit,20,猜想,紫颂拼盘
minecraft:coal,10,已定义,
minecraft:cocoa_beans,8,已定义,
minecraft:cod,7,已定义,
minecraft:cooked_beef,12,猜想,
minecraft:cooked_chicken,9,猜想,
minecraft:cooked_cod,9,猜想,
minecraft:cooked_mutton,17,猜想,
minecraft:cooked_porkchop,17,猜想,
minecraft:cooked_rabbit,14,猜想,
minecraft:cooked_salmon,10,猜想,
minecraft:cookie,6,猜想,
minecraft:crimson_fungus,8,猜想,
minecraft:deepslate_diamond_ore,80,缺省猜想,配方出现1次
minecraft:dragon_breath,60,探索锚点,暂不进常驻悬赏，待玩家市场形成后再校准
minecraft:dried_kelp,3,猜想,
minecraft:egg,5,已定义,
minecraft:ender_eye,45,配方派生,末影珍珠20+烈焰粉25
minecraft:ender_pearl,20,猜想,
minecraft:ghast_tear,40,猜想,
minecraft:glass_bottle,2,猜想,
minecraft:glistering_melon_slice,27,配方派生,8金粒×3+西瓜片3
minecraft:glow_berries,9,已定义,浆果拼盘
minecraft:glow_ink_sac,10,猜想,
minecraft:gold_ingot,25,猜想,
minecraft:gold_nugget,3,猜想,
minecraft:golden_apple,206,配方派生,8金锭×25+苹果6
minecraft:golden_carrot,28,配方派生,8金粒×3+胡萝卜4
minecraft:hay_block,45,已定义,
minecraft:honey_bottle,12,猜想,
minecraft:honeycomb,8,猜想,
minecraft:ice,8,猜想,
minecraft:ink_sac,6,猜想,
minecraft:iron_ingot,12,猜想,
