"item_id","建议分类","entry_id","当前是否存在","当前所在分类","合并状态","是否建议新增","解锁方式","备注"
"bakeries:bagel","T2","item:bakeries/bagel","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:bagel_filled_sauce","T2","item:bakeries/bagel_filled_sauce","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:baguette","T2","item:bakeries/baguette","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:baguette_with_filling","T2","item:bakeries/baguette_with_filling","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:bake_sliced_toast","COMMON","item:bakeries/bake_sliced_toast","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:berry_bagel","T2","item:bakeries/berry_bagel","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:brown_sugar_roll","T2","item:bakeries/brown_sugar_roll","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:cheese_cream_bread","T2","item:bakeries/cheese_cream_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:ciabatta","T2","item:bakeries/ciabatta","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:cooked_taro","COMMON","item:bakeries/cooked_taro","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:country_bread_slice","T2","item:bakeries/country_bread_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:croissant","T2","item:bakeries/croissant","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:dirty_choco_croissant","T2","item:bakeries/dirty_choco_croissant","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:egg_tart","T2","item:bakeries/egg_tart","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:flat_croissant","T2","item:bakeries/flat_croissant","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:focaccia","T2","item:bakeries/focaccia","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:honey_butter_spread_country_bread","T2","item:bakeries/honey_butter_spread_country_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:honey_butter_spread_toast","T2","item:bakeries/honey_butter_spread_toast","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:matcha_parfait","T2","item:bakeries/matcha_parfait","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:meat_floss_bread_roll","T2","item:bakeries/meat_floss_bread_roll","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:pineapple_bun","T2","item:bakeries/pineapple_bun","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:rice_bread","T2","item:bakeries/rice_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:round_bread","T2","item:bakeries/round_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:salmon_sandwich","T2","item:bakeries/salmon_sandwich","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:salt_croissant","T2","item:bakeries/salt_croissant","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:sliced_cheese_cocoa_toast","T2","item:bakeries/sliced_cheese_cocoa_toast","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:sliced_toast","T2","item:bakeries/sliced_toast","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:taro_salt_yolk_bread","T2","item:bakeries/taro_salt_yolk_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:tomato_cheese_croissant_sandwich","T2","item:bakeries/tomato_cheese_croissant_sandwich","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"bakeries:whole_wheat_bagel","T2","item:bakeries/whole_wheat_bagel","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:apple_jelly","T2","item:brewinandchewin/apple_jelly","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:cheesy_pasta","T2","item:brewinandchewin/cheesy_pasta","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:creamy_onion_soup","T2","item:brewinandchewin/creamy_onion_soup","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:glow_berry_marmalade","T2","item:brewinandchewin/glow_berry_marmalade","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:ham_and_cheese_sandwich","T2","item:brewinandchewin/ham_and_cheese_sandwich","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:horror_lasagna","T2","item:brewinandchewin/horror_lasagna","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:pizza_slice","T2","item:brewinandchewin/pizza_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:quiche_slice","COMMON","item:brewinandchewin/quiche_slice","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:scarlet_pierogi","T2","item:brewinandchewin/scarlet_pierogi","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:sweet_berry_jam","T2","item:brewinandchewin/sweet_berry_jam","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"brewinandchewin:vegetable_omelet","T2","item:brewinandchewin/vegetable_omelet","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:amethyst_rock_candy","T2","item:dungeonsdelight/amethyst_rock_candy","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:au_rotten_potatoes","T2","item:dungeonsdelight/au_rotten_potatoes","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:bloated_baked_potato","T2","item:dungeonsdelight/bloated_baked_potato","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:bloody_mary","T2","item:dungeonsdelight/bloody_mary","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:brains_in_a_brick","T2","item:dungeonsdelight/brains_in_a_brick","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:breeze_cream_cone","T2","item:dungeonsdelight/breeze_cream_cone","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:bubblegunk","COMMON","item:dungeonsdelight/bubblegunk","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:chicken_jockey_sandwich","T2","item:dungeonsdelight/chicken_jockey_sandwich","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:chloropasta","T2","item:dungeonsdelight/chloropasta","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:cob_n_candy","T2","item:dungeonsdelight/cob_n_candy","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:cooked_sniffer_shank","COMMON","item:dungeonsdelight/cooked_sniffer_shank","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:cooked_snifferwurst","COMMON","item:dungeonsdelight/cooked_snifferwurst","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:croak_monster","T2","item:dungeonsdelight/croak_monster","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:devilish_eggs","T2","item:dungeonsdelight/devilish_eggs","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"dungeonsdelight:echo_rock_candy","T2","item:dungeonsdelight/echo_rock_candy","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
