"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Bagel Dough","bakeries:bagel_dough","INGREDIENT","否","不进入厨师","ingredient_token=bagel_dough",""
"Baguette Dough","bakeries:baguette_dough","INGREDIENT","否","不进入厨师","ingredient_token=baguette_dough",""
"Bottle Cream","bakeries:bottle_cream","INGREDIENT","否","不进入厨师","explicit_ingredient_id",""
"Brown Sugar Cube","bakeries:brown_sugar_cube","INGREDIENT","否","不进入厨师","ingredient_token=brown_sugar_cube",""
"Brown Sugar Roll Dough","bakeries:brown_sugar_roll_dough","INGREDIENT","否","不进入厨师","ingredient_token=brown_sugar_roll_dough",""
"Butter Cube","bakeries:butter_cube","INGREDIENT","否","不进入厨师","explicit_ingredient_id",""
"Butter Flour Sand","bakeries:butter_flour_sand","INGREDIENT","否","不进入厨师","ingredient_token=butter_flour_sand",""
"Cheese Cream","bakeries:cheese_cream","INGREDIENT","是","不进入厨师","manual_override;搅拌机奶油中间产物","保持INGREDIENT"
"Ciabatta Dough","bakeries:ciabatta_dough","INGREDIENT","否","不进入厨师","ingredient_token=ciabatta_dough",""
"Cocoa Dough","bakeries:cocoa_dough","INGREDIENT","否","不进入厨师","ingredient_token=cocoa_dough",""
"Cocoa Dough Fermentation","bakeries:cocoa_dough_fermentation","INGREDIENT","否","不进入厨师","ingredient_token=cocoa_dough_fermentation",""
"Cocoa Powder","bakeries:cocoa_powder","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:flour_sieve",""
"Country Bread Dough","bakeries:country_bread_dough","INGREDIENT","否","不进入厨师","ingredient_token=country_bread_dough",""
"Croissant Dough","bakeries:croissant_dough","INGREDIENT","否","不进入厨师","ingredient_token=croissant_dough",""
"Dough Crafting Table","bakeries:dough_crafting_table","INGREDIENT","否","不进入厨师","ingredient_token=dough_crafting_table",""
"Egg Tart Shell","bakeries:egg_tart_shell","INGREDIENT","否","不进入厨师","manual_override;蛋挞皮生坯/壳；无FOOD","禁止dishStrong误判"
"Flour","bakeries:flour","INGREDIENT","否","不进入厨师","ingredient_token=flour",""
"Flour Bag","bakeries:flour_bag","INGREDIENT","否","不进入厨师","ingredient_token=flour_bag",""
"Flour Sieve","bakeries:flour_sieve","INGREDIENT","否","不进入厨师","ingredient_token=flour_sieve",""
"Foamed Cream","bakeries:foamed_cream","INGREDIENT","是","不进入厨师","manual_override;发泡奶油中间产物","保持INGREDIENT"
"Focaccia Dough","bakeries:focaccia_dough","INGREDIENT","否","不进入厨师","ingredient_token=focaccia_dough",""
"Fresh Cheese Cube","bakeries:fresh_cheese_cube","INGREDIENT","是","不进入厨师","manual_override;芝士立方中间产物","保持INGREDIENT"
"Honey Butter","bakeries:honey_butter","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:blender",""
"Mashed Taro","bakeries:mashed_taro","INGREDIENT","是","不进入厨师","manual_override;芋泥馅料","保持INGREDIENT"
"Matcha Powder","bakeries:matcha_powder","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:flour_sieve",""
"Meat Floss","bakeries:meat_floss","INGREDIENT","是","不进入厨师","manual_override;肉松馅料","保持INGREDIENT"
"Mould Cheese Cocoa Toast","bakeries:mould_cheese_cocoa_toast","INGREDIENT","否","不进入厨师","manual_override;无FOOD; javap class=MouldToastBlock implements IMouldBlock; demould take→cheese_cocoa_toast; recipe id=bakeries:oven/cheese_cocoa_toast; bread_knife ingredient=cheese_cocoa_toast 非mould; 模具中间态","Bakeries;6A.3原REVIEW→INGREDIENT 不进入普通厨师档"
"Mould Cheese Cocoa Toast Dough","bakeries:mould_cheese_cocoa_toast_dough","INGREDIENT","否","不进入厨师","ingredient_token=mould_cheese_cocoa_toast_dough",""
"Mould Toast","bakeries:mould_toast","INGREDIENT","否","不进入厨师","manual_override;无FOOD; javap class=MouldToastBlock implements IMouldBlock; demouldItem take()给出脱模内容; recipe id=bakeries:oven/toast dough→mould_toast; bread_knife 切片输入是 bakeries:toast 非本物品; 模具中间态不进入普通厨师档","Bakeries;6A.3原REVIEW→INGREDIENT 保守不进厨师"
"Mould Toast Dough","bakeries:mould_toast_dough","INGREDIENT","否","不进入厨师","ingredient_token=mould_toast_dough",""
"Olive Oil","bakeries:olive_oil","INGREDIENT","否","不进入厨师","ingredient_process=bakeries:blender",""
"Pineapple Bun Dough","bakeries:pineapple_bun_dough","INGREDIENT","否","不进入厨师","ingredient_token=pineapple_bun_dough",""
"Pineapple Oil","bakeries:pineapple_oil","INGREDIENT","是","不进入厨师","manual_override;油脂原料","保持INGREDIENT"
"Raw Egg Tart","bakeries:raw_egg_tart","INGREDIENT","否","不进入厨师","manual_override;未烘焙蛋挞；无FOOD","禁止dishStrong误判"
"Raw Yolk","bakeries:raw_egg_yolk","INGREDIENT","否","不进入厨师","ingredient_token=raw_egg_yolk",""
