"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Bagel","bakeries:bagel","DISH","cooking_device=bakeries:oven;food_component","HIGH","是","6","6","","1","0","bakeries:oven/bagel","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Bagel Dough","bakeries:bagel_dough","INGREDIENT","ingredient_token=bagel_dough","HIGH","否","","","","2","1","bakeries:compat/create/bagel_dough | bakeries:dough_crafting_table/bagel_dough__fermentation_gameplay","bakeries:dough_crafting_table/bagel_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Bagel Filled Sauce","bakeries:bagel_filled_sauce","DISH","manual_override;FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","HIGH","是","12","9.6","","1","0","bakeries:bagel_filled_sauce","","minecraft:crafting_shapeless","Bakeries","T2","FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","","","Bakeries;6A.3原REVIEW→DISH T2"
"Baguette","bakeries:baguette","DISH","cooking_device=bakeries:oven;food_component","HIGH","是","8","4","","1","0","bakeries:oven/baguette","","bakeries:oven","Bakeries","T2","正餐/甜点名称","","",""
"Baguette Dough","bakeries:baguette_dough","INGREDIENT","ingredient_token=baguette_dough","HIGH","否","","","","2","1","bakeries:compat/create/baguette_dough | bakeries:dough_crafting_table/baguette_dough__fermentation_gameplay","bakeries:dough_crafting_table/baguette_dough","create:cutting | bakeries:dough_crafting_table","Bakeries","不进入厨师","内容类型=INGREDIENT","","",""
"Baguette With Filling","bakeries:baguette_with_filling","DISH","manual_override;FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","HIGH","是","13","10.400001","","1","0","bakeries:baguette_with_filling","","minecraft:crafting_shapeless","Bakeries","T2","FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","","","Bakeries;6A.3原REVIEW→DISH T2"
"Bake Sliced Toast","bakeries:bake_sliced_toast","DISH","dish_token;edible=true;type=minecraft:campfire_cooking","HIGH","是","4","3.2","","1","0","bakeries:bake_sliced_toast","","minecraft:campfire_cooking","Bakeries","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Bearnaise","bakeries:bearnaise","NON_FOOD","not_edible","MEDIUM","否","","","","7","0","bakeries:bearnaise | bakeries:integration/create/mixing/bearnaise_1 | bakeries:integration/create/mixing/bearnaise_2 | bakeries:integration/create/mixing/bearnaise_3 | bakeries:integration/create/mixing/bearnaise_4 | bakeries:integration/create/mixing/bearnaise_5 | bakeries:integration/create/mixing/bearnaise_6","","minecraft:crafting_shapeless | create:mixing","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
"Berry Bagel","bakeries:berry_bagel","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","是","8","10","effect.minecraft.regeneration 1200tick 1级 概率1","1","0","bakeries:berry_bagel","","minecraft:crafting_shapeless","Bakeries","T2","正餐/甜点名称","","",""
"Black White Concrete","bakeries:black_white_concrete","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","bakeries:black_white_concrete","","minecraft:crafting_shaped","Bakeries","不进入厨师","内容类型=NON_FOOD","","",""
