产物ID,最终内容类型,最终建议档次,决策证据,是否允许厨师经验,是否允许Field Guide,是否属于整盘料理,备注
dungeonsdelight:sculk_mayo,INGREDIENT,不进入厨师,饥饿1/饱和0.4/虚弱副作用；被devilish_eggs等后续使用；酱料非宴席,否,否,否,6A.2驳回T3候选
dungeonsdelight:wardenzola,INGREDIENT,不进入厨师,仅sculk_polyp×2+milk；被polterghast_pizza使用；奶酪中间产物,否,否,否,6A.2驳回T3候选
bakeries:cheese_cream,INGREDIENT,不进入厨师,搅拌机奶油中间产物,否,否,否,保持INGREDIENT
bakeries:foamed_cream,INGREDIENT,不进入厨师,发泡奶油中间产物,否,否,否,保持INGREDIENT
bakeries:fresh_cheese_cube,INGREDIENT,不进入厨师,芝士立方中间产物,否,否,否,保持INGREDIENT
bakeries:mashed_taro,INGREDIENT,不进入厨师,芋泥馅料,否,否,否,保持INGREDIENT
bakeries:meat_floss,INGREDIENT,不进入厨师,肉松馅料,否,否,否,保持INGREDIENT
bakeries:pineapple_oil,INGREDIENT,不进入厨师,油脂原料,否,否,否,保持INGREDIENT
brewinandchewin:flaxen_cheese_wedge,INGREDIENT,不进入厨师,奶酪楔切割产物,否,否,否,保持INGREDIENT
brewinandchewin:scarlet_cheese_wedge,INGREDIENT,不进入厨师,奶酪楔切割产物,否,否,否,保持INGREDIENT
dungeonsdelight:cleaved_ancient_egg,INGREDIENT,不进入厨师,切割中间产物,否,否,否,保持INGREDIENT
dungeonsdelight:creeperilla_squib,INGREDIENT,不进入厨师,切割中间产物,否,否,否,保持INGREDIENT
dungeonsdelight:ghast_calamari,INGREDIENT,不进入厨师,切割中间产物,否,否,否,保持INGREDIENT
dungeonsdelight:rotgourd_slice,INGREDIENT,不进入厨师,切割中间产物,否,否,否,保持INGREDIENT
dungeonsdelight:rotten_tripe,INGREDIENT,不进入厨师,切割中间产物,否,否,否,保持INGREDIENT
dungeonsdelight:wardenzola_crumbles,INGREDIENT,不进入厨师,奶酪碎屑切割产物,否,否,否,保持INGREDIENT
farmersdelight:pumpkin_slice,INGREDIENT,不进入厨师,南瓜片原料,否,否,否,保持INGREDIENT
mynethersdelight:ghast_dough,INGREDIENT,不进入厨师,面团中间产物,否,否,否,保持INGREDIENT
mynethersdelight:hot_cream,INGREDIENT,不进入厨师,奶油酱料,否,否,否,保持INGREDIENT
mynethersdelight:minced_strider,INGREDIENT,不进入厨师,绞肉中间产物,否,否,否,保持INGREDIENT
mynethersdelight:strider_egg,INGREDIENT,不进入厨师,切割/原料蛋,否,否,否,保持INGREDIENT
bakeries:egg_tart_shell,INGREDIENT,不进入厨师,蛋挞皮生坯/壳；无FOOD,否,否,否,禁止dishStrong误判
bakeries:raw_egg_tart,INGREDIENT,不进入厨师,未烘焙蛋挞；无FOOD,否,否,否,禁止dishStrong误判
mynethersdelight:raw_stuffed_hoglin,INGREDIENT,不进入厨师,整盘生坯；无FOOD；需烹饪,否,否,否,生坯非SERVING_DISH
mynethersdelight:roast_stuffed_hoglin,SERVING_DISH,不进入厨师,StuffedHoglinBlock.SERVINGS+useItemOn分食；无FOOD组件,否,是,是,javap:SERVINGS分食；防双算待6B
minecraft:cake,SERVING_DISH,不进入厨师,原版CakeBlock分食；无Item FOOD,否,是,是,原版蛋糕
brewinandchewin:pizza,SERVING_DISH,不进入厨师,PizzaBlock.SERVINGS+useWithoutItem；无FOOD,否,是,是,javap:PizzaBlock
dungeonsdelight:polterghast_pizza,SERVING_DISH,不进入厨师,PolterghastPizzaBlock整盘分食；无FOOD,否,是,是,整盘披萨
dungeonsdelight:monster_cake,SERVING_DISH,不进入厨师,可放置蛋糕类；无FOOD,否,是,是,整盘蛋糕
neapolitan:adzuki_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice；无Item FOOD,否,是,是,javap:FlavoredCakeBlock
neapolitan:banana_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice,否,是,是,
neapolitan:chocolate_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice,否,是,是,
neapolitan:mint_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice,否,是,是,
neapolitan:strawberry_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice,否,是,是,
neapolitan:vanilla_cake,SERVING_DISH,不进入厨师,FlavoredCakeBlock.eatSlice,否,是,是,
neapolitan:adzuki_ice_cream_block,SERVING_DISH,不进入厨师,冰淇淋方块可放置分食；无FOOD,否,是,是,
neapolitan:banana_ice_cream_block,SERVING_DISH,不进入厨师,冰淇淋方块,否,是,是,
neapolitan:chocolate_ice_cream_block,SERVING_DISH,不进入厨师,冰淇淋方块,否,是,是,
