"item_id","中文名","来源模组","6A分类","6A建议档次","旧权威表档次","当前item档次","命中recipe覆盖","当前实际档次","合并状态","是否新增","有效配方ID","分类证据","建议动作"
"bakeries:bagel","Bagel","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/bagel","cooking_device=bakeries:oven;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:bagel_filled_sauce","Bagel Filled Sauce","Bakeries","DISH","T2","","","","","NEW","是","bakeries:bagel_filled_sauce","manual_override;FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:baguette","Baguette","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/baguette","cooking_device=bakeries:oven;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:baguette_with_filling","Baguette With Filling","Bakeries","DISH","T2","","","","","NEW","是","bakeries:baguette_with_filling","manual_override;FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:bake_sliced_toast","Bake Sliced Toast","Bakeries","DISH","COMMON","","","","","NEW","是","bakeries:bake_sliced_toast","dish_token;edible=true;type=minecraft:campfire_cooking","6B.1 可考虑新增 item tier=COMMON + FG entry"
"bakeries:berry_bagel","Berry Bagel","Bakeries","DISH","T2","","","","","NEW","是","bakeries:berry_bagel","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:brown_sugar_roll","Brown Sugar Roll","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/brown_sugar_roll","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:cheese_cream_bread","Cheese Cream Bread","Bakeries","DISH","T2","","","","","NEW","是","bakeries:cheese_cream_bread","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:ciabatta","Ciabatta","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/ciabatta","cooking_device=bakeries:oven;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:cooked_taro","Cooked Taro","Bakeries","DISH","COMMON","","","","","NEW","是","bakeries:cooked_taro | bakeries:cooked_taro_campfire_cooking | bakeries:cooked_taro_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"bakeries:country_bread_slice","Country Bread Slice","Bakeries","DISH","T2","","","","","NEW","是","bakeries:bread_knife/country_bread_slice","dish_token;edible=true;type=bakeries:bread_knife","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:croissant","Croissant","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/croissant","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:dirty_choco_croissant","Dirty Choco Croissant","Bakeries","DISH","T2","","","","","NEW","是","bakeries:dirty_choco_croissant","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:egg_tart","Egg Tart","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/egg_tart","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:flat_croissant","Flat Croissant","Bakeries","DISH","T2","","","","","NEW","是","bakeries:integration/create/pressing/flat_croissant","dish_token;edible=true;type=create:pressing","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:focaccia","Focaccia","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/focaccia","cooking_device=bakeries:oven;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:honey_butter_spread_country_bread","Honey Butter Spread Country Bread","Bakeries","DISH","T2","","","","","NEW","是","bakeries:honey_butter_spread_country_bread","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:honey_butter_spread_toast","Honey Butter Spread Toast","Bakeries","DISH","T2","","","","","NEW","是","bakeries:honey_butter_spread_toast","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:matcha_parfait","Matcha Parfait","Bakeries","DISH","T2","","","","","NEW","是","bakeries:blender/matcha_parfait | bakeries:compat/create/matcha_parfait","dish_token;edible=true;type=bakeries:blender","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:meat_floss_bread_roll","Meat Floss Bread Roll","Bakeries","DISH","T2","","","","","NEW","是","bakeries:meat_floss_bread_roll","manual_override;FOOD nutrition=7 saturation=10.5; recipe id=bakeries:meat_floss_bread_roll (sliced_toast×4+meat_floss×4+bearnaise)×4; 多原料点心","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:pineapple_bun","Pineapple Bun","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/pineapple_bun","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:rice_bread","Rice Bread","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/rice_bread","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:round_bread","Round Bread","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/round_bread","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:salmon_sandwich","Salmon Sandwich","Bakeries","DISH","T2","","","","","NEW","是","bakeries:compat/salmon_sandwich","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:salt_croissant","Salt Croissant","Bakeries","DISH","T2","","","","","NEW","是","bakeries:oven/salt_croissant","dish_token;edible=true;type=bakeries:oven","6B.1 可考虑新增 item tier=T2 + FG entry"
"bakeries:sliced_cheese_cocoa_toast","Sliced Cheese Cocoa Toast","Bakeries","DISH","T2","","","","","NEW","是","bakeries:bread_knife/sliced_cheese_cocoa_toast","dish_token;edible=true;type=bakeries:bread_knife","6B.1 可考虑新增 item tier=T2 + FG entry"
