"tagId","runtimeMemberCount","memberIds","replace来源","数据包来源","已定价成员数","最低可信成员价","价格置信度","建议决策","风险","evidence"
"#brewinandchewin:foods/cheese_wedge","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#brewinandchewin:foods/pizza_topping","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:butter","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:cheese","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:flours/wheat","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/banana","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/boiled_egg","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/cabbage","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/chocolate_bar","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/giant_tentacles","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/onion","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/raw_ghast","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/raw_hoglin","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/raw_strider","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/rice_pasta","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/safe_raw_fish","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/strawberry","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:foods/tomato","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:matcha","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:milk","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:pumpkins","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#c:salt","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:acidics","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:ancient_flora","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:extracts","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:fleshes","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:monster_foods","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:raw_ghast","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:rubaboo_ingredients","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:sculk_cheese","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:sea_plants","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#dungeonsdelight:slime_balls","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#minecraft:fox_food","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#minecraft:planks","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#mynethersdelight:boiled_egg_candidate","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#mynethersdelight:hoglin_cure","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#mynethersdelight:hoglin_waxed","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
"#mynethersdelight:hot_spice","UNKNOWN","","UNKNOWN","RUNTIME_BLOCKED","","","REVIEW","REVIEW","运行时导出 BLOCKED，成员无法核验；不得凭标签名称猜价","其他生产服务端在运行，未启动当前服务端；c: 标签成员为运行时约定"
