"dependencyId","dependencyKind","affectedTargetCount","decision","rationale","status"
"#brewinandchewin:foods/cheese_wedge","TAG","5","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#brewinandchewin:foods/pizza_topping","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:butter","TAG","20","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:cheese","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:flours/wheat","TAG","24","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/banana","TAG","4","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/boiled_egg","TAG","3","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/cabbage","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/chocolate_bar","TAG","6","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/giant_tentacles","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/onion","TAG","3","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/raw_ghast","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/raw_hoglin","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/raw_strider","TAG","2","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/rice_pasta","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/safe_raw_fish","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/strawberry","TAG","5","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:foods/tomato","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:matcha","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:milk","TAG","10","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:pumpkins","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#c:salt","TAG","24","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:acidics","TAG","3","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:ancient_flora","TAG","5","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:extracts","TAG","6","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:fleshes","TAG","7","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:monster_foods","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:raw_ghast","TAG","4","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:rubaboo_ingredients","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:sculk_cheese","TAG","7","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:sea_plants","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#dungeonsdelight:slime_balls","TAG","14","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#minecraft:fox_food","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#minecraft:planks","TAG","2","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#mynethersdelight:boiled_egg_candidate","TAG","1","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#mynethersdelight:hoglin_cure","TAG","2","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#mynethersdelight:hoglin_waxed","TAG","2","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"#mynethersdelight:hot_spice","TAG","9","REVIEW","标签成员无法从静态 JAR 核验，需运行时/数据包确认最便宜有效成员","REVIEW"
"bakeries:bottle_cream","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:bottle_yeast","ITEM","24","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:cheese_cocoa_toast","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:cheese_cube","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:flour","ITEM","23","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:olive","ITEM","3","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:taro","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"bakeries:toast","ITEM","5","REVIEW","缺少可核验价格证据","REVIEW"
"brewinandchewin:flaxen_cheese_wedge","ITEM","2","REVIEW","缺少可核验价格证据","REVIEW"
"brewinandchewin:pizza_slice","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
"brewinandchewin:quiche_slice","ITEM","1","REVIEW","缺少可核验价格证据","REVIEW"
