"dependencyId","dependencyKind","occurrenceRows","affectedTargetCount","affectedTargetIds","affectedTiers","currentPrice","currentPriceSource","priceConfidence","containerDecision","suggestedPrice","suggestedPriceEvidence","economicRisk","decision"
"dungeonsdelight:carved_rotgourd","CONTAINER","1","1","dungeonsdelight:rot_roast","T2","","","REVIEW","REVIEW","","","容器语义未确认，禁止仅因价格存在判定消耗","BLOCKED"
"minecraft:bucket","CONTAINER","2","2","mynethersdelight:hot_cream_cone;mynethersdelight:magma_cake_slice","T2","","","REVIEW","REVIEW","","","容器语义未确认，禁止仅因价格存在判定消耗","BLOCKED"
"mynethersdelight:hotdog","CONTAINER","1","1","mynethersdelight:chilidog","T2","","","REVIEW","REVIEW","","","容器语义未确认，禁止仅因价格存在判定消耗","BLOCKED"
"bakeries:bottle_cream","ITEM","15","5","bakeries:cheese_cream_bread;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:matcha_parfait;bakeries:taro_salt_yolk_bread","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:bottle_yeast","ITEM","96","24","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:baguette;bakeries:baguette_with_filling;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:ciabatta;bakeries:country_bread_slice;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich;bakeries:whole_wheat_bagel","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:cheese_cocoa_toast","ITEM","1","1","bakeries:sliced_cheese_cocoa_toast","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:cheese_cube","ITEM","8","1","bakeries:cheese_cream_bread","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:flour","ITEM","207","23","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:baguette;bakeries:baguette_with_filling;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:ciabatta;bakeries:country_bread_slice;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:olive","ITEM","40","3","bakeries:bagel_filled_sauce;bakeries:focaccia;bakeries:meat_floss_bread_roll","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:taro","ITEM","6","2","bakeries:cooked_taro;bakeries:taro_salt_yolk_bread","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"bakeries:toast","ITEM","5","5","bakeries:bake_sliced_toast;bakeries:honey_butter_spread_toast;bakeries:meat_floss_bread_roll;bakeries:salmon_sandwich;bakeries:sliced_toast","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"brewinandchewin:flaxen_cheese_wedge","ITEM","2","2","brewinandchewin:cheesy_pasta;brewinandchewin:ham_and_cheese_sandwich","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"brewinandchewin:pizza_slice","ITEM","1","1","brewinandchewin:pizza_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"brewinandchewin:quiche_slice","ITEM","1","1","brewinandchewin:quiche_slice","COMMON","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"brewinandchewin:scarlet_cheese_wedge","ITEM","2","2","brewinandchewin:horror_lasagna;brewinandchewin:scarlet_pierogi","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"create:wheat_flour","ITEM","23","23","bakeries:bagel;bakeries:bagel_filled_sauce;bakeries:baguette;bakeries:baguette_with_filling;bakeries:berry_bagel;bakeries:brown_sugar_roll;bakeries:cheese_cream_bread;bakeries:ciabatta;bakeries:country_bread_slice;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:egg_tart;bakeries:flat_croissant;bakeries:focaccia;bakeries:honey_butter_spread_country_bread;bakeries:matcha_parfait;bakeries:meat_floss_bread_roll;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:round_bread;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:ancient_egg","ITEM","16","9","dungeonsdelight:chicken_jockey_sandwich;dungeonsdelight:devilish_eggs;dungeonsdelight:malicious_sandwich;dungeonsdelight:monster_burger;dungeonsdelight:monster_cake_slice;dungeonsdelight:necronog;dungeonsdelight:sculk_apple;dungeonsdelight:takoyaki;dungeonsdelight:terrine_loaf","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:bogged_brain","ITEM","6","3","dungeonsdelight:brains_in_a_brick;dungeonsdelight:croak_monster;dungeonsdelight:haggis","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:brined_flesh","ITEM","7","5","dungeonsdelight:bloated_baked_potato;dungeonsdelight:salt_soaked_stew;dungeonsdelight:shiokara;dungeonsdelight:soaked_skewer;dungeonsdelight:terrine_loaf","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:candied_vex_sucker","ITEM","1","1","dungeonsdelight:monster_burger","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:ghast_tentacle","ITEM","1","1","dungeonsdelight:fried_ghast_calamari","COMMON","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:gritty_flesh","ITEM","7","5","dungeonsdelight:bloated_baked_potato;dungeonsdelight:bloody_mary;dungeonsdelight:gyudon;dungeonsdelight:rubaboo;dungeonsdelight:shiokara","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:monster_cake_slice","ITEM","7","1","dungeonsdelight:monster_cake_slice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:rotbulb","ITEM","19","19","dungeonsdelight:bubblegunk;dungeonsdelight:haggis;dungeonsdelight:jelly_beans;dungeonsdelight:monster_burger;dungeonsdelight:monster_cake_slice;dungeonsdelight:monster_muffin;dungeonsdelight:necronog;dungeonsdelight:poi;dungeonsdelight:rot_roast;dungeonsdelight:shiokara;dungeonsdelight:sinigang;dungeonsdelight:slicorice;dungeonsdelight:terrine_loaf;mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:blue_tenderloin_steak;mynethersdelight:magma_cake_slice;mynethersdelight:red_loin_on_a_stick;mynethersdelight:strider_stew;mynethersdelight:tear_popsicle","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:rotbulb_plant","ITEM","14","14","dungeonsdelight:bubblegunk;dungeonsdelight:haggis;dungeonsdelight:jelly_beans;dungeonsdelight:monster_burger;dungeonsdelight:necronog;dungeonsdelight:rot_roast;dungeonsdelight:shiokara;dungeonsdelight:slicorice;mynethersdelight:bacon-wrapped_sausage_on_a_stick;mynethersdelight:blue_tenderloin_steak;mynethersdelight:magma_cake_slice;mynethersdelight:red_loin_on_a_stick;mynethersdelight:strider_stew;mynethersdelight:tear_popsicle","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:rotgourd","ITEM","6","6","dungeonsdelight:ghast_roll;dungeonsdelight:monster_burger;dungeonsdelight:rotpop;dungeonsdelight:shiokara;dungeonsdelight:spider_bisque;dungeonsdelight:takoyaki","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:silverfish_abdomen","ITEM","4","4","dungeonsdelight:bloody_mary;dungeonsdelight:monster_burger;dungeonsdelight:rot_roast;dungeonsdelight:silverfish_fried_rice","T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:slime_bar","ITEM","14","14","dungeonsdelight:breeze_cream_cone;dungeonsdelight:chloropasta;dungeonsdelight:cooked_snifferwurst;dungeonsdelight:gelled_salad;dungeonsdelight:ghoulash;dungeonsdelight:marshbellow;dungeonsdelight:monster_burger;dungeonsdelight:slime_bar;dungeonsdelight:slime_noodles;dungeonsdelight:snifferwurst;dungeonsdelight:snuffledog;dungeonsdelight:terrine_loaf;dungeonsdelight:trial_freakshake;dungeonsdelight:wispy_rice_ball","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:sniffer_shank","ITEM","7","5","dungeonsdelight:chloropasta;dungeonsdelight:cooked_sniffer_shank;dungeonsdelight:cooked_snifferwurst;dungeonsdelight:snifferwurst;dungeonsdelight:snuffledog","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
"dungeonsdelight:spider_meat","ITEM","15","7","dungeonsdelight:monster_burger;dungeonsdelight:poisonous_poutine;dungeonsdelight:sinigang;dungeonsdelight:smoked_spider_meat;dungeonsdelight:spider_bisque;dungeonsdelight:spider_extract;dungeonsdelight:spider_salmagundi","COMMON;T2","","","REVIEW","","","","缺少直接价格锚点","REVIEW"
