"itemId","档次","静态候选配方ID","设备","输出数量","整份原料成本","单件原料成本","难度系数","buff系数","common系数","建议unitWorth","runtimeStatus","runtimeVerified","staticEvidence","来源JAR","recipe JSON路径","原料选择","容器决策","证据链","风险","REVIEW原因"
"bakeries:bagel","T2","bakeries:oven/bagel","烘焙坊烤箱","1","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/bagel.json","bakeries:bagel_dough×1","NONE","bakeries:bagel <- recipe=bakeries:oven/bagel;type=bakeries:oven;output=1;choices=bakeries:bagel_dough×1;container=NONE -> bakeries:bagel_dough <- recipe=bakeries:compat/create/bagel_dough;type=create:cutting;output=4;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:bagel_filled_sauce","T2","bakeries:bagel_filled_sauce","工作台（无序）","1","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bagel_filled_sauce.json","bakeries:bagel×1 + bakeries:bearnaise×1","NONE","bakeries:bagel_filled_sauce <- recipe=bakeries:bagel_filled_sauce;type=minecraft:crafting_shapeless;output=1;choices=bakeries:bagel×1 + bakeries:bearnaise×1;container=NONE -> bakeries:bagel <- recipe=bakeries:oven/bagel;type=bakeries:oven;output=1;choices=bakeries:bagel_dough×1;container=NONE -> bakeries:bagel_dough <- recipe=bakeries:compat/create/bagel_dough;type=create:cutting;output=4;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:bearnaise <- recipe=bakeries:bearnaise;type=minecraft:crafting_shapeless;output=1;choices=bakeries:olive_oil×1 + bakeries:raw_egg_yolk×1 + minecraft:sugar×1 + minecraft:glass_bottle×1;container=NONE -> bakeries:olive_oil <- recipe=bakeries:blender/olive_oil;type=bakeries:blender;output=1;choices=;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> bakeries:raw_egg_yolk <- recipe=bakeries:bread_knife/raw_egg_yolk;type=bakeries:bread_knife;output=1;choices=bakeries:whole_egg×1;container=NONE -> bakeries:whole_egg <- recipe=bakeries:bread_knife/whole_egg;type=bakeries:bread_knife;output=1;choices=minecraft:egg×1;container=NONE -> minecraft:egg=5(已定义) -> minecraft:sugar=4(已定义) -> minecraft:glass_bottle=2(人工定价(PROVISIONAL):服务器既有猜想锚点)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;CO_PRODUCT_ALLOCATION_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;CO_PRODUCT_ALLOCATION_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:baguette","T2","bakeries:oven/baguette","烘焙坊烤箱","1","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/baguette.json","bakeries:baguette_dough×1","NONE","bakeries:baguette <- recipe=bakeries:oven/baguette;type=bakeries:oven;output=1;choices=bakeries:baguette_dough×1;container=NONE -> bakeries:baguette_dough <- recipe=bakeries:compat/create/baguette_dough;type=create:cutting;output=2;choices=bakeries:salted_dough×1;container=NONE -> bakeries:salted_dough <- recipe=bakeries:blender/salted_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:water_bucket×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:water_bucket=1(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:baguette_with_filling","T2","bakeries:baguette_with_filling","工作台（无序）","2","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/baguette_with_filling.json","bakeries:baguette×1 + #c:crops/tomato×1 + #c:foods/cooked_pork×1","NONE","bakeries:baguette_with_filling <- recipe=bakeries:baguette_with_filling;type=minecraft:crafting_shapeless;output=2;choices=bakeries:baguette×1 + #c:crops/tomato×1 + #c:foods/cooked_pork×1;container=NONE -> bakeries:baguette <- recipe=bakeries:oven/baguette;type=bakeries:oven;output=1;choices=bakeries:baguette_dough×1;container=NONE -> bakeries:baguette_dough <- recipe=bakeries:compat/create/baguette_dough;type=create:cutting;output=2;choices=bakeries:salted_dough×1;container=NONE -> bakeries:salted_dough <- recipe=bakeries:blender/salted_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:water_bucket×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:water_bucket=1(猜想) -> #c:crops/tomato=6(已定义) -> #c:foods/cooked_pork=17(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:bake_sliced_toast","COMMON","bakeries:bake_sliced_toast","营火","1","","","1.15","1","0.95","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/bake_sliced_toast.json","bakeries:sliced_toast×1","NONE","bakeries:bake_sliced_toast <- recipe=bakeries:bake_sliced_toast;type=minecraft:campfire_cooking;output=1;choices=bakeries:sliced_toast×1;container=NONE -> bakeries:sliced_toast <- recipe=bakeries:bread_knife/sliced_toast;type=bakeries:bread_knife;output=4;choices=;container=NONE","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST"
"bakeries:berry_bagel","T2","bakeries:berry_bagel","工作台（无序）","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/berry_bagel.json","bakeries:bagel×1 + minecraft:sugar×1","NONE","bakeries:berry_bagel <- recipe=bakeries:berry_bagel;type=minecraft:crafting_shapeless;output=1;choices=bakeries:bagel×1 + minecraft:sugar×1;container=NONE -> bakeries:bagel <- recipe=bakeries:oven/bagel;type=bakeries:oven;output=1;choices=bakeries:bagel_dough×1;container=NONE -> bakeries:bagel_dough <- recipe=bakeries:compat/create/bagel_dough;type=create:cutting;output=4;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> minecraft:sugar=4(已定义)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:brown_sugar_roll","T2","bakeries:oven/brown_sugar_roll","烘焙坊烤箱","1","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/brown_sugar_roll.json","bakeries:brown_sugar_roll_dough×1","NONE","bakeries:brown_sugar_roll <- recipe=bakeries:oven/brown_sugar_roll;type=bakeries:oven;output=1;choices=bakeries:brown_sugar_roll_dough×1;container=NONE -> bakeries:brown_sugar_roll_dough <- recipe=bakeries:brown_sugar_roll_dough;type=minecraft:crafting_shaped;output=4;choices=bakeries:round_bread_dough×4 + bakeries:brown_sugar_cube×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:brown_sugar_cube <- recipe=bakeries:brown_sugar_cube;type=minecraft:smelting;output=1;choices=minecraft:sugar_cane×1;container=NONE -> minecraft:sugar_cane=4(已定义)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:cheese_cream_bread","T2","bakeries:cheese_cream_bread","工作台（无序）","2","","","1.65","1.35","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/cheese_cream_bread.json","bakeries:round_bread×1 + bakeries:round_bread×1 + bakeries:cheese_cream×1","NONE","bakeries:cheese_cream_bread <- recipe=bakeries:cheese_cream_bread;type=minecraft:crafting_shapeless;output=2;choices=bakeries:round_bread×1 + bakeries:round_bread×1 + bakeries:cheese_cream×1;container=NONE -> bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:round_bread <- recipe=bakeries:oven/round_bread;type=bakeries:oven;output=1;choices=bakeries:round_bread_dough×1;container=NONE -> bakeries:round_bread_dough <- recipe=bakeries:compat/create/round_bread_dough;type=create:cutting;output=6;choices=bakeries:sweet_dough×1;container=NONE -> bakeries:sweet_dough <- recipe=bakeries:blender/sweet_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:sugar×1 + #c:foods/milk×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:foods/milk=6(猜想) -> bakeries:cheese_cream <- recipe=bakeries:blender/cheese_cream;type=bakeries:blender;output=2;choices=bakeries:foamed_cream×1 + bakeries:fresh_cheese_cube×1;container=NONE -> bakeries:foamed_cream <- recipe=bakeries:blender/foamed_cream;type=bakeries:blender;output=4;choices=bakeries:bottle_cream×1 + bakeries:bottle_cream×1 + minecraft:sugar×1;container=NONE -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想) -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想) -> minecraft:sugar=4(已定义) -> bakeries:fresh_cheese_cube <- recipe=bakeries:blender/fresh_cheese_cube;type=bakeries:blender;output=4;choices=bakeries:bottle_cream×1;container=NONE -> bakeries:bottle_cream <- recipe=bakeries:compat/create/bottle_cream;type=create:mixing;output=1;choices=#c:foods/milk×1;container=NONE -> #c:foods/milk=6(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:ciabatta","T2","bakeries:oven/ciabatta","烘焙坊烤箱","1","","","1.65","1","1","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/oven/ciabatta.json","bakeries:ciabatta_dough×1","NONE","bakeries:ciabatta <- recipe=bakeries:oven/ciabatta;type=bakeries:oven;output=1;choices=bakeries:ciabatta_dough×1;container=NONE -> bakeries:ciabatta_dough <- recipe=bakeries:compat/create/ciabatta_dough;type=create:cutting;output=4;choices=bakeries:salted_dough×1;container=NONE -> bakeries:salted_dough <- recipe=bakeries:blender/salted_dough;type=bakeries:blender;output=1;choices=bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + bakeries:flour×1 + minecraft:water_bucket×1;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> bakeries:flour <- recipe=bakeries:flour_of_flour_bag;type=minecraft:crafting_shapeless;output=9;choices=bakeries:flour_bag×1;container=NONE -> bakeries:flour_bag <- recipe=bakeries:flour_bag;type=minecraft:crafting_shapeless;output=1;choices=;container=NONE -> minecraft:water_bucket=1(猜想)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"bakeries:cooked_taro","COMMON","bakeries:cooked_taro","熔炉","1","","","1.15","1","0.95","","STALE","false","JAR","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","data/bakeries/recipe/cooked_taro.json","","NONE","bakeries:cooked_taro <- recipe=bakeries:cooked_taro;type=minecraft:smelting;output=1;choices=;container=NONE","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST"
