"设备","recipeId","输入容器","交付物","返还路径","证据","决定","scopeStatus","runtimeStatus"
"farmersdelight:cooking","mynethersdelight:cooking/chilidog","mynethersdelight:hotdog","mynethersdelight:chilidog","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","mynethersdelight:cooking/fries_ghasta","minecraft:paper","mynethersdelight:fries_ghasta","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","mynethersdelight:cooking/hotcream","minecraft:bucket","mynethersdelight:hot_cream","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","mynethersdelight:cooking/roast_stuffed_hoglin","minecraft:bowl","mynethersdelight:roast_stuffed_hoglin","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"farmersdelight:cooking","dungeonsdelight:cooking/snuffledog","minecraft:bread","dungeonsdelight:snuffledog","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:integration/minersdelight/monster_cooking/meals/poi_cup","minersdelight:copper_cup","dungeonsdelight:poi_cup","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:integration/minersdelight/monster_cooking/meals/salt_soaked_stew_cup","minersdelight:copper_cup","dungeonsdelight:salt_soaked_stew_cup","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:integration/minersdelight/monster_cooking/meals/spider_salmagundi_cup","minersdelight:copper_cup","dungeonsdelight:spider_salmagundi_cup","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:integration/minersdelight/monster_cooking/misc/rubaboo_cup","minersdelight:copper_cup","dungeonsdelight:rubaboo_cup","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"farmersdelight:cooking","dungeonsdelight:integration/twilightforest/cooking/misc/meef_wellington","minecraft:bread","dungeonsdelight:meef_wellington","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:integration/twilightforest/monster_cooking/meals/tower_boreito","minecraft:bread","dungeonsdelight:tower_boreito","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/breeze_cream_cone","minecraft:phantom_membrane","dungeonsdelight:breeze_cream_cone","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/guardian_angel_block","minecraft:bowl","dungeonsdelight:guardian_angel_block","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/malicious_sandwich","minecraft:bread","dungeonsdelight:malicious_sandwich","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/monster_burger","farmersdelight:hamburger","dungeonsdelight:monster_burger","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/monster_mousse_block","minecraft:bowl","dungeonsdelight:monster_mousse_block","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","OUT_OF_SCOPE","UNKNOWN"
"dungeonsdelight:monster_cooking","dungeonsdelight:monster_cooking/necronog","minecraft:glass_bottle","dungeonsdelight:necronog","NONE","recipe JSON container 字段 + 烹饪/发酵/搅拌设备行为：容器随交付物给出（非返还）","PART_OF_RESULT","IN_SCOPE","UNKNOWN"
