"effectId","sourceMod","affectedDishCount","affectedDishIds","evidenceSource","positiveOrNegative","suggestedClass","factor","decision","reviewReason"
"bakeries:cheese_power","bakeries","2","bakeries:cheese_cream_bread;bakeries:sliced_cheese_cocoa_toast","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","javap addAttributeModifier ATTACK_DAMAGE → STRONG"
"bakeries:cocoa_mania","bakeries","2","bakeries:dirty_choco_croissant;bakeries:sliced_cheese_cocoa_toast","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","LIGHT","1.15","DEFINED","javap addAttributeModifier ATTACK_SPEED → LIGHT(类急迫)"
"bakeries:enjoy","bakeries","11","bakeries:brown_sugar_roll;bakeries:croissant;bakeries:dirty_choco_croissant;bakeries:flat_croissant;bakeries:focaccia;bakeries:pineapple_bun;bakeries:rice_bread;bakeries:salmon_sandwich;bakeries:salt_croissant;bakeries:taro_salt_yolk_bread;bakeries:tomato_cheese_croissant_sandwich","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","javap applyEffectTick：回血 + 移除负面效果 → STRONG"
"dungeonsdelight:burrow_gut","dungeonsdelight","4","dungeonsdelight:bloody_mary;dungeonsdelight:monster_burger;dungeonsdelight:rot_roast;dungeonsdelight:silverfish_fried_rice","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:decisive","dungeonsdelight","5","dungeonsdelight:cob_n_candy;dungeonsdelight:monster_burger;dungeonsdelight:rotpop;dungeonsdelight:soaked_skewer;dungeonsdelight:spider_tanghulu","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:exudation","dungeonsdelight","6","dungeonsdelight:monster_burger;dungeonsdelight:monster_cake_slice;dungeonsdelight:monster_muffin;dungeonsdelight:poi;dungeonsdelight:sinigang;dungeonsdelight:terrine_loaf","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:pouncing","dungeonsdelight","10","dungeonsdelight:cob_n_candy;dungeonsdelight:monster_burger;dungeonsdelight:monster_cake_slice;dungeonsdelight:poisonous_poutine;dungeonsdelight:sinigang;dungeonsdelight:spider_bisque;dungeonsdelight:spider_pie_slice;dungeonsdelight:spider_salmagundi;dungeonsdelight:spider_tanghulu;dungeonsdelight:trial_freakshake","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
"dungeonsdelight:putrid_scent","dungeonsdelight","1","dungeonsdelight:shiokara","javap(MobEffectCategory.HARMFUL) 食物三档分类表.csv 效果buff","negative","NEGATIVE","0.85","DEFINED","javap MobEffectCategory.HARMFUL → NEGATIVE"
"dungeonsdelight:ravenous_rush","dungeonsdelight","1","dungeonsdelight:rot_roast","javap(MobEffectCategory.BENEFICIAL) 食物三档分类表.csv 效果buff","positive","STRONG","1.35","DEFINED","javap addAttributeModifier MOVEMENT_SPEED+0.3 / ATTACK_SPEED+0.1 → STRONG"
"dungeonsdelight:rotgut","dungeonsdelight","5","dungeonsdelight:ghast_roll;dungeonsdelight:rot_roast;dungeonsdelight:rotpop;dungeonsdelight:spider_bisque;dungeonsdelight:takoyaki","javap(MobEffectCategory.NEUTRAL) 食物三档分类表.csv 效果buff","neutral","","","REVIEW","javap(MobEffectCategory.NEUTRAL) 安装JAR；正负未定，禁止猜价"
