"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Country Bread","bakeries:country_bread","SERVING_DISH","否","不进入厨师","manual_override;无Item FOOD; javap class=CountryBreadBlock extends AKnifeCutBlock; getSliceItem=COUNTRY_BREAD_SLICE getMaxSlice=4; useItemOn knife cut; recipe id=bakeries:oven/country_bread (dough→country_bread); bread_knife recipe→country_bread_slice×6; 整盘切片非整盘手持料理","Bakeries;6A.3原REVIEW→SERVING_DISH; FG仅未来展示意图"
"Pizza","brewinandchewin:pizza","SERVING_DISH","否","不进入厨师","manual_override;PizzaBlock.SERVINGS+useWithoutItem；无FOOD","javap:PizzaBlock"
"Monster Cake","dungeonsdelight:monster_cake","SERVING_DISH","否","不进入厨师","manual_override;可放置蛋糕类；无FOOD","整盘蛋糕"
"Polterghast Pizza","dungeonsdelight:polterghast_pizza","SERVING_DISH","否","不进入厨师","manual_override;PolterghastPizzaBlock整盘分食；无FOOD","整盘披萨"
"Spider Donut","dungeonsdelight:spider_donut","SERVING_DISH","否","不进入厨师","manual_override;无Item FOOD; javap class=SpiderDonutBlock DONUTS property getMaxServings=4; useWithoutItem→eat() FoodData.eat(3","是"
"Spider Pie","dungeonsdelight:spider_pie","SERVING_DISH","否","不进入厨师","manual_override;无Item FOOD; javap class=EXPPieBlock extends vectorwing.farmersdelight.common.block.PieBlock; consumeBite+EXP; DDBlocks.SPIDER_PIE; recipe id=dungeonsdelight:spider_pie; cutting recipe→spider_pie_slice×4; 可分食PieBlock","Dungeon's Delight;6A.3原REVIEW→SERVING_DISH; FG仅未来意图"
"Cake","minecraft:cake","SERVING_DISH","否","不进入厨师","manual_override;原版CakeBlock分食；无Item FOOD","原版蛋糕"
"Magma Cake","mynethersdelight:magma_cake_block","SERVING_DISH","否","不进入厨师","manual_override;岩浆蛋糕方块；无FOOD",""
"Stuffed Hoglin","mynethersdelight:roast_stuffed_hoglin","SERVING_DISH","否","不进入厨师","manual_override;StuffedHoglinBlock.SERVINGS+useItemOn分食；无FOOD组件","javap:SERVINGS分食；防双算待6B"
"Adzuki Cake","neapolitan:adzuki_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice；无Item FOOD","javap:FlavoredCakeBlock"
"Adzuki Ice Cream Block","neapolitan:adzuki_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块可放置分食；无FOOD",""
"Banana Cake","neapolitan:banana_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice",""
"Banana Ice Cream Block","neapolitan:banana_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块",""
"Chocolate Cake","neapolitan:chocolate_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice",""
"Chocolate Ice Cream Block","neapolitan:chocolate_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块",""
"Mint Cake","neapolitan:mint_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice",""
"Mint Ice Cream Block","neapolitan:mint_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块",""
"Strawberry Cake","neapolitan:strawberry_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice",""
"Strawberry Ice Cream Block","neapolitan:strawberry_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块",""
"Vanilla Cake","neapolitan:vanilla_cake","SERVING_DISH","否","不进入厨师","manual_override;FlavoredCakeBlock.eatSlice",""
"Vanilla Ice Cream Block","neapolitan:vanilla_ice_cream_block","SERVING_DISH","否","不进入厨师","manual_override;冰淇淋方块",""
