"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Bagel","bakeries:bagel","DISH","是","T2","cooking_device=bakeries:oven;food_component",""
"Bagel Filled Sauce","bakeries:bagel_filled_sauce","DISH","是","T2","manual_override;FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","Bakeries;6A.3原REVIEW→DISH T2"
"Baguette","bakeries:baguette","DISH","是","T2","cooking_device=bakeries:oven;food_component",""
"Baguette With Filling","bakeries:baguette_with_filling","DISH","是","T2","manual_override;FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","Bakeries;6A.3原REVIEW→DISH T2"
"Bake Sliced Toast","bakeries:bake_sliced_toast","DISH","是","COMMON","dish_token;edible=true;type=minecraft:campfire_cooking",""
"Berry Bagel","bakeries:berry_bagel","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Brown Sugar Roll","bakeries:brown_sugar_roll","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Cheese Cream Bread","bakeries:cheese_cream_bread","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Ciabatta","bakeries:ciabatta","DISH","是","T2","cooking_device=bakeries:oven;food_component",""
"Cooked Taro","bakeries:cooked_taro","DISH","是","COMMON","cooking_device=minecraft:smelting;food_component",""
"Country Bread Slice","bakeries:country_bread_slice","DISH","是","T2","dish_token;edible=true;type=bakeries:bread_knife",""
"Croissant","bakeries:croissant","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Dirty Choco Croissant","bakeries:dirty_choco_croissant","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Egg Tart","bakeries:egg_tart","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Flat Croissant","bakeries:flat_croissant","DISH","是","T2","dish_token;edible=true;type=create:pressing",""
"Focaccia","bakeries:focaccia","DISH","是","T2","cooking_device=bakeries:oven;food_component",""
"Honey Butter Spread Country Bread","bakeries:honey_butter_spread_country_bread","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Honey Butter Spread Toast","bakeries:honey_butter_spread_toast","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Matcha Parfait","bakeries:matcha_parfait","DISH","是","T2","dish_token;edible=true;type=bakeries:blender",""
"Meat Floss Bread Roll","bakeries:meat_floss_bread_roll","DISH","是","T2","manual_override;FOOD nutrition=7 saturation=10.5; recipe id=bakeries:meat_floss_bread_roll (sliced_toast×4+meat_floss×4+bearnaise)×4; 多原料点心","Bakeries;6A.3原REVIEW→DISH T2"
"Pineapple Bun","bakeries:pineapple_bun","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Rice Bread","bakeries:rice_bread","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Round Bread","bakeries:round_bread","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Salmon Sandwich","bakeries:salmon_sandwich","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Salt Croissant","bakeries:salt_croissant","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Sliced Cheese Cocoa Toast","bakeries:sliced_cheese_cocoa_toast","DISH","是","T2","dish_token;edible=true;type=bakeries:bread_knife",""
"Sliced Toast","bakeries:sliced_toast","DISH","是","T2","dish_token;edible=true;type=bakeries:bread_knife",""
"Taro Salt Yolk Bread","bakeries:taro_salt_yolk_bread","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Tomato Cheese Croissant Sandwich","bakeries:tomato_cheese_croissant_sandwich","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
"Whole Wheat Bagel","bakeries:whole_wheat_bagel","DISH","是","T2","dish_token;edible=true;type=bakeries:oven",""
"Apple Jelly","brewinandchewin:apple_jelly","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Pasta with Cheese","brewinandchewin:cheesy_pasta","DISH","是","T2","dish_token;edible=true;type=farmersdelight:cooking",""
"Creamy Onion Soup","brewinandchewin:creamy_onion_soup","DISH","是","T2","explicit_dish_allowlist",""
"Glow Berry Marmalade","brewinandchewin:glow_berry_marmalade","DISH","是","T2","cooking_device=farmersdelight:cooking;food_component",""
"Ham and Cheese Sandwich","brewinandchewin:ham_and_cheese_sandwich","DISH","是","T2","dish_token;edible=true;type=minecraft:crafting_shapeless",""
