"产物中文名","产物ID","内容类型（JAR启发式）","未加载配方数","未加载配方ID列表","序列化类型","UNITE状态样例","备注"
"琥珀脂香","dungeonsdelight:amber_e_olio","NON_FOOD","1","dungeonsdelight:integration/aether/monster_cooking/meals/amber_e_olio","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"仙馔密环","dungeonsdelight:ambrosia_ring","NON_FOOD","1","dungeonsdelight:integration/aether/monster_cooking/meals/ambrosia_ring","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"奥术辣肉酱炖豆","dungeonsdelight:arcane_chili","NON_FOOD","1","dungeonsdelight:integration/twilightforest/monster_cooking/meals/arcane_chili","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"极光雪糕","dungeonsdelight:aurora_ice_cream","REVIEW","1","dungeonsdelight:integration/twilightforest/cooking/meals/aurora_ice_cream","farmersdelight:cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"炽热血肠","dungeonsdelight:blazing_blood_sausage","REVIEW","1","dungeonsdelight:integration/twilightforest/monster_cooking/meals/blazing_blood_sausage","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"炽铁斩切刀","dungeonsdelight:fiery_cleaver","NON_FOOD","2","dungeonsdelight:integration/twilightforest/crafting_table/fiery_cleaver | dungeonsdelight:integration/twilightforest/crafting_table/fiery_iron_cleaver","minecraft:crafting_shaped | minecraft:crafting_shapeless","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"炽铁刀","dungeonsdelight:fiery_knife","NON_FOOD","2","dungeonsdelight:integration/twilightforest/crafting_table/fiery_iron_knife | dungeonsdelight:integration/twilightforest/crafting_table/fiery_knife","minecraft:crafting_shapeless | minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"绒花糖","dungeonsdelight:fluffy_floss","NON_FOOD","1","dungeonsdelight:integration/aether/monster_cooking/misc/fluffy_floss","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"炸虫肉排","dungeonsdelight:fried_bug_chops","NON_FOOD","1","dungeonsdelight:integration/twilightforest/smoker/tf_fried_bug_chops_from_smoking","minecraft:smoking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"重力晶斩切刀","dungeonsdelight:gravitite_cleaver","NON_FOOD","1","dungeonsdelight:integration/aether/crafting_table/gravitite_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"重力晶刀","dungeonsdelight:gravitite_knife","NON_FOOD","1","dungeonsdelight:integration/aether/crafting_table/gravitite_knife","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"白汁九头蛇肉块","dungeonsdelight:hydra_fricassee","NON_FOOD","1","dungeonsdelight:integration/twilightforest/monster_cooking/meals/hydra_fricassee","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"铁木匕首","dungeonsdelight:ironwood_cleaver","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/ironwood_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"铁木弯刀","dungeonsdelight:ironwood_knife","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/ironwood_knife","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"骑士金属斩切刀","dungeonsdelight:knightmetal_cleaver","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/knightmetal_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"骑士金属刀","dungeonsdelight:knightmetal_knife","NON_FOOD","1","dungeonsdelight:integration/twilightforest/crafting_table/knightmetal_knife","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"活根啤酒","dungeonsdelight:liveroot_beer","DRINK","1","dungeonsdelight:integration/twilightforest/cooking/drinks/liveroot_beer","farmersdelight:cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"碱渍鱼","dungeonsdelight:lutefisk","NON_FOOD","1","dungeonsdelight:integration/fishy_fiesta/monster_cooking/misc/lutefisk","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"迷宫寿司","dungeonsdelight:maze_roll","REVIEW","1","dungeonsdelight:integration/twilightforest/cooking/misc/maze_roll","farmersdelight:cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"迷宫夹心饼","dungeonsdelight:maze_smore","NON_FOOD","1","dungeonsdelight:integration/twilightforest/monster_cooking/misc/maze_smore","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"惠灵顿牛头人肉排","dungeonsdelight:meef_wellington","NON_FOOD","1","dungeonsdelight:integration/twilightforest/cooking/misc/meef_wellington","farmersdelight:cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"下界合金斩切刀","dungeonsdelight:netherite_cleaver","NON_FOOD","1","minecraft:netherite_cleaver_smithing","minecraft:smithing_transform","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"芋泥杯","dungeonsdelight:poi_cup","NON_FOOD","1","dungeonsdelight:integration/minersdelight/monster_cooking/meals/poi_cup","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"箱装毒马铃薯","dungeonsdelight:poisonous_potato_crate","NON_FOOD","1","minecraft:poisonous_potato_crate","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"箱装腐芋","dungeonsdelight:rotbulb_crate","NON_FOOD","1","minecraft:rotbulb_crate","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"箱装烂番茄","dungeonsdelight:rotten_tomato_crate","NON_FOOD","1","minecraft:rotten_tomato_crate","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"腐肉饼汤杯","dungeonsdelight:rubaboo_cup","NON_FOOD","1","dungeonsdelight:integration/minersdelight/monster_cooking/misc/rubaboo_cup","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"盐淹炖杯","dungeonsdelight:salt_soaked_stew_cup","REVIEW","1","dungeonsdelight:integration/minersdelight/monster_cooking/meals/salt_soaked_stew_cup","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"鳞片暮色蕨烩饭","dungeonsdelight:scaly_fiddlehead_risotto","REVIEW","1","dungeonsdelight:integration/twilightforest/monster_cooking/meals/scaly_fiddlehead_risotto","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"幽匿苹狗","dungeonsdelight:sculk_dogapple","NON_FOOD","2","dungeonsdelight:integration/appledog/sculk_catblueberry | dungeonsdelight:integration/appledog/sculk_dogapple","minecraft:crafting_shapeless | minecraft:crafting_shapeless","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"天莓酿","dungeonsdelight:skyberry_brew","NON_FOOD","1","dungeonsdelight:integration/aether/monster_cooking/drinks/skyberry_brew","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"蜘蛛杂烩杯","dungeonsdelight:spider_salmagundi_cup","NON_FOOD","1","dungeonsdelight:integration/minersdelight/monster_cooking/meals/spider_salmagundi_cup","dungeonsdelight:monster_cooking","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"污秽碎片","dungeonsdelight:stained_scrap","NON_FOOD","1","minecraft:stained_scrap_from_fragment","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
"钢斩切刀","dungeonsdelight:steel_cleaver","NON_FOOD","1","dungeonsdelight:integration/alloyed/crafting_table/steel_cleaver","minecraft:crafting_shaped","仅JAR原始（运行时未加载）","无运行时有效配方；不得进入当前服务器厨师候选"
