"模组显示名","实际JAR文件","JAR版本","JAR原始来源命名空间","运行时配方ID","配方序列化类型","机器/工序","产物中文名","产物ID","数量","是否可食用","饥饿值","饱和度","效果","内容类型","分类证据","分类置信度","原料种类数","原料槽位数","稀有原料","中间产物","容器/载体","流体","烹饪时间","设备温度","UNITE状态","提供者包列表","是否为最终有效配方","建议厨师档次","建议依据","T3证据","是否需要料理完成事件适配","建议CookingDevice","设备覆盖说明","人工复审备注"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bagel_filled_sauce","minecraft:crafting_shapeless","工作台（无序）","Bagel Filled Sauce","bakeries:bagel_filled_sauce","1","是","12","9.6","","DISH","manual_override;FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","HIGH","2","2","否","否","","","","","无","(base)","是","T2","FOOD nutrition=12 saturation=9.6; recipe id=bakeries:bagel_filled_sauce (shapeless bagel+bearnaise); 夹馅成品","","已覆盖","CRAFTING","ItemCraftedEvent","人工覆盖优先；Bakeries;6A.3原REVIEW→DISH T2"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:baguette_with_filling","minecraft:crafting_shapeless","工作台（无序）","Baguette With Filling","bakeries:baguette_with_filling","2","是","13","10.400001","","DISH","manual_override;FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","HIGH","3","3","否","否","","","","","无","(base)","是","T2","FOOD nutrition=13 saturation=10.4; recipe id=bakeries:baguette_with_filling (baguette+tomato+cooked_pork)×2; 夹馅成品","","已覆盖","CRAFTING","ItemCraftedEvent","人工覆盖优先；Bakeries;6A.3原REVIEW→DISH T2"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bake_sliced_toast","minecraft:campfire_cooking","营火（无事件检测）","Bake Sliced Toast","bakeries:bake_sliced_toast","1","是","4","3.2","","DISH","dish_token;edible=true;type=minecraft:campfire_cooking","HIGH","1","1","否","否","","","600","","无","(base)","是","COMMON","基础熟食或少量常见原料/单步合成","","未覆盖","CAMPFIRE（仅枚举）","无营火取餐检测，不会产生 DishCookedEvent","营火：TCTH 当前无 DishCookedEvent 检测"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:bearnaise","minecraft:crafting_shapeless","工作台（无序）","Bearnaise","bakeries:bearnaise","1","否","","","","NON_FOOD","not_edible","MEDIUM","4","4","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:berry_bagel","minecraft:crafting_shapeless","工作台（无序）","Berry Bagel","bakeries:berry_bagel","1","是","8","10","effect.minecraft.regeneration 1200tick 1级 概率1","DISH","dish_token;edible=true;type=minecraft:crafting_shapeless","HIGH","3","3","否","否","","","","","无","(base)","是","T2","正餐/甜点名称","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:black_white_concrete","minecraft:crafting_shaped","工作台（有序）","Black White Concrete","bakeries:black_white_concrete","4","否","","","","NON_FOOD","not_edible","MEDIUM","2","2","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender","minecraft:crafting_shaped","工作台（有序）","Blender","bakeries:blender","1","否","","","","NON_FOOD","not_edible","MEDIUM","5","5","否","否","","","","","无","(base)","是","不进入厨师","内容类型=NON_FOOD","","已覆盖","CRAFTING","ItemCraftedEvent",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/bottle_cream","bakeries:blender","烘焙坊搅拌机","Bottle Cream","bakeries:bottle_cream","1","否","","","","INGREDIENT","explicit_ingredient_id","HIGH","2","1","否","是","minecraft:glass_bottle","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/butter_cube","bakeries:blender","烘焙坊搅拌机","Butter Cube","bakeries:butter_cube","1","否","","","","INGREDIENT","explicit_ingredient_id","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/cheese_cream","bakeries:blender","烘焙坊搅拌机","Cheese Cream","bakeries:cheese_cream","2","是","1","2","","INGREDIENT","manual_override;搅拌机奶油中间产物","HIGH","2","2","否","是","","","","","无","(base)","是","不进入厨师","搅拌机奶油中间产物","","需适配","BAKERIES_BLENDER（建议）","多数为原料","人工覆盖优先；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/cocoa_dough","bakeries:blender","烘焙坊搅拌机","Cocoa Dough","bakeries:cocoa_dough","1","否","","","","INGREDIENT","ingredient_token=cocoa_dough","HIGH","7","9","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/foamed_cream","bakeries:blender","烘焙坊搅拌机","Foamed Cream","bakeries:foamed_cream","4","是","1","2","","INGREDIENT","manual_override;发泡奶油中间产物","HIGH","2","3","否","是","","","","","无","(base)","是","不进入厨师","发泡奶油中间产物","","需适配","BAKERIES_BLENDER（建议）","多数为原料","人工覆盖优先；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/fresh_cheese_cube","bakeries:blender","烘焙坊搅拌机","Fresh Cheese Cube","bakeries:fresh_cheese_cube","4","是","1","2","","INGREDIENT","manual_override;芝士立方中间产物","HIGH","2","5","否","是","","","","","无","(base)","是","不进入厨师","芝士立方中间产物","","需适配","BAKERIES_BLENDER（建议）","多数为原料","人工覆盖优先；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/honey_butter","bakeries:blender","烘焙坊搅拌机","Honey Butter","bakeries:honey_butter","4","否","","","","INGREDIENT","ingredient_process=bakeries:blender","MEDIUM","2","3","否","是","","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/mashed_taro","bakeries:blender","烘焙坊搅拌机","Mashed Taro","bakeries:mashed_taro","4","是","1","1","","INGREDIENT","manual_override;芋泥馅料","HIGH","3","3","否","是","","","","","无","(base)","是","不进入厨师","芋泥馅料","","需适配","BAKERIES_BLENDER（建议）","多数为原料","人工覆盖优先；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/matcha_parfait","bakeries:blender","烘焙坊搅拌机","Matcha Parfait","bakeries:matcha_parfait","1","是","9","9","effect.minecraft.speed 600tick 1级 概率1；effect.minecraft.haste 600tick 1级 概率1","DISH","dish_token;edible=true;type=bakeries:blender","HIGH","5","4","否","否","minecraft:glass_bottle","","","","无","(base)","是","T2","正餐/甜点名称","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/meat_floss","bakeries:blender","烘焙坊搅拌机","Meat Floss","bakeries:meat_floss","4","是","2","3.2","","INGREDIENT","manual_override;肉松馅料","HIGH","1","1","否","是","","","","","无","(base)","是","不进入厨师","肉松馅料","","需适配","BAKERIES_BLENDER（建议）","多数为原料","人工覆盖优先；保持INGREDIENT"
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/olive_oil","bakeries:blender","烘焙坊搅拌机","Olive Oil","bakeries:olive_oil","1","否","","","","INGREDIENT","ingredient_process=bakeries:blender","MEDIUM","2","4","否","是","minecraft:glass_bottle","","","","无","(base)","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/salted_dough","bakeries:blender","烘焙坊搅拌机","Salted Dough","bakeries:salted_dough","1","否","","","","INGREDIENT","ingredient_token=salted_dough","HIGH","4","7","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
"Bakeries","[烘焙坊]bakeries-1.21.1-NeoForge-1.0.1.jar","1.0.1","bakeries","bakeries:blender/sweet_dough","bakeries:blender","烘焙坊搅拌机","Sweet Dough","bakeries:sweet_dough","1","否","","","","INGREDIENT","ingredient_token=sweet_dough","HIGH","6","9","否","是","","","","","always包","(base)|always","是","不进入厨师","内容类型=INGREDIENT","","需适配","BAKERIES_BLENDER（建议）","多数为原料",""
