"产物中文名","产物ID","内容类型","是否可食用","建议厨师档次","分类证据","备注"
"Brown Sugar Latte","bakeries:brown_sugar_latte","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Coffee Bean","bakeries:coffee_bean","DRINK","否","不进入厨师","drink_token=coffee_bean",""
"Coffee Table","bakeries:coffee_table","DRINK","否","不进入厨师","drink_token=coffee_table",""
"Cream Bingle Coffee","bakeries:cream_bingle_coffee","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Glass Drink Cup","bakeries:drink_cup","DRINK","否","不进入厨师","drink_token=drink_cup",""
"Ground Coffee","bakeries:ground_coffee","DRINK","否","不进入厨师","drink_token=ground_coffee",""
"Iced American","bakeries:iced_american","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Iced Latte","bakeries:iced_latte","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Matcha Latte","bakeries:matcha_latte","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Taro Milk","bakeries:taro_milk","DRINK","是","不进入厨师","recipe_type=bakeries:drink",""
"Beer","brewinandchewin:beer","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Bloody Mary","brewinandchewin:bloody_mary","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Cocoa Fudge","brewinandchewin:cocoa_fudge","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Dread Nog","brewinandchewin:dread_nog","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Egg Grog","brewinandchewin:egg_grog","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Glittering Grenadine","brewinandchewin:glittering_grenadine","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Jerky","brewinandchewin:jerky","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Kimchi","brewinandchewin:kimchi","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Kippers","brewinandchewin:kippers","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Kombucha","brewinandchewin:kombucha","DRINK","是","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Mead","brewinandchewin:mead","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Pale Jane","brewinandchewin:pale_jane","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Pickled Pickles","brewinandchewin:pickled_pickles","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Red Rum","brewinandchewin:red_rum","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Rice Wine","brewinandchewin:rice_wine","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Saccharine Rum","brewinandchewin:saccharine_rum","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Salty Folly","brewinandchewin:salty_folly","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Steel-Toe Stout","brewinandchewin:steel_toe_stout","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Strongroot Ale","brewinandchewin:strongroot_ale","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Unripe Flaxen Cheese Wheel","brewinandchewin:unripe_flaxen_cheese_wheel","DRINK","否","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Unripe Scarlet Cheese Wheel","brewinandchewin:unripe_scarlet_cheese_wheel","DRINK","否","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Vodka","brewinandchewin:vodka","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Withering Dross","brewinandchewin:withering_dross","DRINK","是","不进入厨师","recipe_type=brewinandchewin:fermenting",""
"Builder's Tea","create:builders_tea","DRINK","是","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Putrid Spice Latte","dungeonsdelight:putrid_spice_latte","DRINK","是","不进入厨师","drink_token=putrid_spice_latte",""
"Spider Bubble Tea","dungeonsdelight:spider_bubble_tea","DRINK","是","不进入厨师","drink_token=spider_bubble_tea",""
"Taro Milk Tea","dungeonsdelight:taro_milk_tea","DRINK","是","不进入厨师","drink_token=taro_milk_tea",""
"Milk Bottle","farmersdelight:milk_bottle","DRINK","否","不进入厨师","recipe_type=brewinandchewin:keg_pouring",""
"Allium Garden","kaleidoscope_tavern:allium_garden","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Bloody Mary","kaleidoscope_tavern:bloody_mary","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Brandy","kaleidoscope_tavern:brandy","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Brass Heart","kaleidoscope_tavern:brass_heart","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Carignan","kaleidoscope_tavern:carignan","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Champagne","kaleidoscope_tavern:champagne","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Depth Charge","kaleidoscope_tavern:depth_charge","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Emerald","kaleidoscope_tavern:emerald","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Glowflower Brew","kaleidoscope_tavern:glowflower_brew","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Godfather","kaleidoscope_tavern:godfather","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Grasshopper","kaleidoscope_tavern:grasshopper","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
"Honey Wine","kaleidoscope_tavern:honey_wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Ice Wine","kaleidoscope_tavern:ice_wine","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Luminous Bride","kaleidoscope_tavern:luminous_bride","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Madame Shexiang","kaleidoscope_tavern:madame_shexiang","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Miner's Star","kaleidoscope_tavern:miners_star","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:barrel",""
"Mojito","kaleidoscope_tavern:mojito","DRINK","否","不进入厨师","recipe_type=kaleidoscope_tavern:shaker",""
