模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,flex_pot/dongpo_pork.json,东坡肉(kaleidoscope_cookery:dongpo_pork),1,炒锅(灵活),生猪排(#c:foods/raw_pork) + 竹子(minecraft:bamboo),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,pot/dongpo_pork.json,东坡肉(kaleidoscope_cookery:dongpo_pork),1,炒锅(置于炉灶上),竹子(minecraft:bamboo) + 竹子(minecraft:bamboo) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/stargazy_pie.json,仰望星空派(kaleidoscope_cookery:stargazy_pie),1,炒锅(灵活),生鱼(#c:raw_fishes) + 南瓜派(minecraft:pumpkin_pie),载体:碗(minecraft:bowl),13,16.0,胀气 30秒、霉运 3分,原始(统一基准),
万花筒烹饪,pot/stargazy_pie.json,仰望星空派(kaleidoscope_cookery:stargazy_pie),1,炒锅(置于炉灶上),南瓜派(minecraft:pumpkin_pie) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes) + 生鱼(#c:raw_fishes),载体:碗(minecraft:bowl),13,16.0,胀气 30秒、霉运 3分,原始(统一基准),
万花筒烹饪,flex_pot/frost_lamb_chop.json,凛冬羊排(kaleidoscope_cookery:frost_lamb_chop),1,炒锅(灵活),蓝冰(minecraft:blue_ice) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,寒带疾行 1分20秒,原始(统一基准),
万花筒烹饪,pot/frost_lamb_chop.json,凛冬羊排(kaleidoscope_cookery:frost_lamb_chop),1,炒锅(置于炉灶上),蓝冰(minecraft:blue_ice) + 蓝冰(minecraft:blue_ice) + 蓝冰(minecraft:blue_ice) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl),13,16.0,寒带疾行 1分20秒,原始(统一基准),
农夫乐事(万花筒机器),pot/add/bacon_and_eggs.json,培根蛋(farmersdelight:bacon_and_eggs),1,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 生培根(#c:foods/raw_bacon) + 生培根(#c:foods/raw_bacon),载体:碗(minecraft:bowl),10,12.0,营养 1分,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,pot/kelp_to_dried_kelp_1.json,干海带(minecraft:dried_kelp),1,炒锅(置于炉灶上),海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_2.json,干海带(minecraft:dried_kelp),2,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
万花筒烹饪,pot/kelp_to_dried_kelp_3.json,干海带(minecraft:dried_kelp),3,炒锅(置于炉灶上),海带(minecraft:kelp) + 海带(minecraft:kelp) + 海带(minecraft:kelp),,,,,原始(统一基准),
